batch   laboratory    yield
1          1           1545
1          1           1440
1          1           1440
1          1           1520
1          1           1580
1          2           1500
1          2           1470
1          2           1490
1          2           1500
1          2           1540
2          1           1540
2          1           1555 
2          1           1490 
2          1           1560 
2          1           1495 
2          2           1510
2          2           1560
2          2           1485
2          2           1490
2          2           1530
3          1           1595
3          1           1550
3          1           1605
3          1           1510
3          1           1560
3          2           1570
3          2           1565
3          2           1570
3          2           1520
3          2           1530
4          1           1445
4          1           1440
4          1           1595
4          1           1465
4          1           1545
4          2           1485
4          2           1535
4          2           1485
4          2           1500
4          2           1445
5          1           1595
5          1           1630
5          1           1515
5          1           1635
5          1           1625
5          2           1600
5          2           1630
5          2           1550
5          2           1550
5          2           1610
6          1           1520
6          1           1445
6          1           1450
6          1           1480
6          1           1445
6          2           1450
6          2           1445
6          2           1470
6          2           1450
6          2           1520
