"","...1","age","university","housing","duration","contact","marital","previous","y"
"1",1,56,"no","no",261,"telephone","married",0,"no"
"2",2,57,"no","no",149,"telephone","married",0,"no"
"3",3,37,"no","yes",226,"telephone","married",0,"no"
"4",4,40,"no","no",151,"telephone","married",0,"no"
"5",5,56,"no","no",307,"telephone","married",0,"no"
"6",6,45,"no","no",198,"telephone","married",0,"no"
"7",7,59,"no","no",139,"telephone","married",0,"no"
"8",8,41,"no","no",217,"telephone","married",0,"no"
"9",9,24,"no","yes",380,"telephone","single",0,"no"
"10",10,25,"no","yes",50,"telephone","single",0,"no"
"11",11,41,"no","no",55,"telephone","married",0,"no"
"12",12,25,"no","yes",222,"telephone","single",0,"no"
"13",13,29,"no","no",137,"telephone","single",0,"no"
"14",14,57,"no","yes",293,"telephone","divorced",0,"no"
"15",15,35,"no","yes",146,"telephone","married",0,"no"
"16",16,54,"no","yes",174,"telephone","married",0,"no"
"17",17,35,"no","yes",312,"telephone","married",0,"no"
"18",18,46,"no","yes",440,"telephone","married",0,"no"
"19",19,50,"no","yes",353,"telephone","married",0,"no"
"20",20,39,"no","no",195,"telephone","single",0,"no"
"21",21,30,"no","no",38,"telephone","married",0,"no"
"22",22,55,"no","yes",262,"telephone","married",0,"no"
"23",23,55,"no","yes",342,"telephone","single",0,"no"
"24",24,41,"no","yes",181,"telephone","single",0,"no"
"25",25,37,"no","yes",172,"telephone","married",0,"no"
"26",26,35,"yes","no",99,"telephone","married",0,"no"
"27",27,59,"no","yes",93,"telephone","married",0,"no"
"28",28,39,"no","no",233,"telephone","married",0,"no"
"29",29,54,"yes","no",255,"telephone","single",0,"no"
"30",30,55,"yes","no",362,"telephone","married",0,"no"
"31",31,46,"no","no",348,"telephone","married",0,"no"
"32",32,59,"no","yes",386,"telephone","married",0,"no"
"33",33,49,"no","no",73,"telephone","married",0,"no"
"34",34,54,"no","yes",230,"telephone","married",0,"no"
"35",35,54,"no","no",208,"telephone","divorced",0,"no"
"36",36,55,"no","yes",336,"telephone","married",0,"no"
"37",37,34,"no","no",365,"telephone","married",0,"no"
"38",38,52,"no","yes",1666,"telephone","married",0,"no"
"39",39,41,"yes","yes",577,"telephone","married",0,"no"
"40",40,56,"no","yes",137,"telephone","married",0,"no"
"41",41,58,"yes","yes",366,"telephone","single",0,"no"
"42",42,32,"no","yes",314,"telephone","married",0,"no"
"43",43,38,"no","no",160,"telephone","single",0,"no"
"44",44,57,"yes","no",212,"telephone","married",0,"no"
"45",45,44,"yes","yes",188,"telephone","married",0,"no"
"46",46,42,"no","no",22,"telephone","single",0,"no"
"47",47,57,"yes","yes",616,"telephone","married",0,"no"
"48",48,40,"no","no",178,"telephone","married",0,"no"
"49",49,35,"yes","yes",355,"telephone","married",0,"no"
"50",50,45,"no","yes",225,"telephone","married",0,"no"
"51",51,54,"no","no",160,"telephone","married",0,"no"
"52",52,39,"no","no",266,"telephone","married",0,"no"
"53",53,60,"no","no",253,"telephone","married",0,"no"
"54",54,53,"no","no",179,"telephone","single",0,"no"
"55",55,55,"no","no",269,"telephone","married",0,"no"
"56",56,55,"no","yes",135,"telephone","married",0,"no"
"57",57,50,"yes","no",161,"telephone","married",0,"no"
"58",58,45,"no","yes",787,"telephone","married",0,"no"
"59",59,55,"no","yes",145,"telephone","married",0,"no"
"60",60,25,"yes","yes",174,"telephone","single",0,"no"
"61",61,47,"yes","no",449,"telephone","married",0,"no"
"62",62,51,"no","yes",812,"telephone","married",0,"no"
"63",63,42,"no","yes",164,"telephone","married",0,"no"
"64",64,42,"no","no",366,"telephone","married",0,"no"
"65",65,48,"no","no",357,"telephone","married",0,"no"
"66",66,37,"yes","no",232,"telephone","married",0,"no"
"67",67,44,"no","yes",91,"telephone","single",0,"no"
"68",68,33,"no","yes",273,"telephone","married",0,"no"
"69",69,56,"no","yes",158,"telephone","married",0,"no"
"70",70,44,"no","yes",177,"telephone","single",0,"no"
"71",71,41,"no","no",200,"telephone","married",0,"no"
"72",72,44,"yes","yes",172,"telephone","divorced",0,"no"
"73",73,47,"yes","yes",176,"telephone","married",0,"no"
"74",74,57,"no","no",211,"telephone","married",0,"no"
"75",75,37,"yes","yes",214,"telephone","married",0,"no"
"76",76,41,"no","yes",1575,"telephone","divorced",0,"yes"
"77",77,55,"yes","no",349,"telephone","married",0,"no"
"78",78,33,"no","yes",337,"telephone","married",0,"no"
"79",79,55,"no","yes",272,"telephone","married",0,"no"
"80",80,42,"no","no",208,"telephone","married",0,"no"
"81",81,50,"no","yes",193,"telephone","married",0,"no"
"82",82,51,"no","no",212,"telephone","married",0,"no"
"83",83,38,"no","no",165,"telephone","married",0,"no"
"84",84,49,"yes","yes",1042,"telephone","married",0,"yes"
"85",85,38,"yes","no",20,"telephone","single",0,"no"
"86",86,31,"no","no",246,"telephone","divorced",0,"no"
"87",87,41,"no","no",529,"telephone","married",0,"no"
"88",88,39,"yes","yes",192,"telephone","married",0,"no"
"89",89,49,"no","no",1467,"telephone","married",0,"yes"
"90",90,34,"no","yes",188,"telephone","married",0,"no"
"91",91,35,"yes","yes",180,"telephone","married",0,"no"
"92",92,57,"no","yes",48,"telephone","married",0,"no"
"93",93,60,"no","no",213,"telephone","married",0,"no"
"94",94,33,"no","no",545,"telephone","married",0,"no"
"95",95,42,"no","no",583,"telephone","married",0,"no"
"96",96,45,"no","yes",221,"telephone","married",0,"no"
"97",97,42,"yes","no",426,"telephone","married",0,"no"
"98",98,53,"yes","no",287,"telephone","divorced",0,"no"
"99",99,37,"no","no",197,"telephone","single",0,"no"
"100",100,44,"no","no",257,"telephone","married",0,"no"
"101",101,54,"no","yes",229,"telephone","married",0,"no"
"102",102,49,"no","no",55,"telephone","married",0,"no"
"103",103,54,"no","no",400,"telephone","married",0,"no"
"104",104,52,"yes","no",197,"telephone","divorced",0,"no"
"105",105,52,"yes","no",190,"telephone","divorced",0,"no"
"106",106,43,"no","no",21,"telephone","single",0,"no"
"107",107,34,"no","yes",300,"telephone","married",0,"no"
"108",108,35,"no","yes",123,"telephone","married",0,"no"
"109",109,42,"no","yes",293,"telephone","married",0,"no"
"110",110,43,"no","yes",325,"telephone","married",0,"no"
"111",111,60,"yes","no",514,"telephone","divorced",0,"no"
"112",112,58,"no","no",849,"telephone","married",0,"no"
"113",113,35,"no","yes",194,"telephone","divorced",0,"no"
"114",114,55,"no","yes",212,"telephone","married",0,"no"
"115",115,37,"yes","no",337,"telephone","married",0,"no"
"116",116,36,"no","no",286,"telephone","married",0,"no"
"117",117,52,"yes","no",247,"telephone","divorced",0,"no"
"118",118,57,"no","yes",518,"telephone","divorced",0,"no"
"119",119,56,"no","yes",364,"telephone","married",0,"no"
"120",120,48,"no","yes",178,"telephone","divorced",0,"no"
"121",121,40,"no","yes",98,"telephone","married",0,"no"
"122",122,49,"no","no",439,"telephone","divorced",0,"no"
"123",123,41,"no","no",139,"telephone","married",0,"no"
"124",124,45,"no","yes",79,"telephone","married",0,"no"
"125",125,32,"yes","yes",175,"telephone","married",0,"no"
"126",126,42,"yes","no",262,"telephone","married",0,"no"
"127",127,50,"no","no",61,"telephone","married",0,"no"
"128",128,31,"no","yes",78,"telephone","divorced",0,"no"
"129",129,56,"no","yes",102,"telephone","married",0,"no"
"130",130,41,"no","yes",579,"telephone","married",0,"yes"
"131",131,37,"no","yes",143,"telephone","married",0,"no"
"132",132,41,"no","no",677,"telephone","married",0,"no"
"133",133,35,"no","yes",267,"telephone","married",0,"no"
"134",134,37,"no","yes",345,"telephone","married",0,"no"
"135",135,52,"yes","no",185,"telephone","married",0,"no"
"136",136,39,"yes","no",207,"telephone","divorced",0,"no"
"137",137,39,"no","no",69,"telephone","married",0,"no"
"138",138,56,"no","no",100,"telephone","married",0,"no"
"139",139,34,"no","yes",125,"telephone","married",0,"no"
"140",140,45,"no","yes",461,"telephone","married",0,"yes"
"141",141,43,"yes","yes",240,"telephone","single",0,"no"
"142",142,56,"no","yes",70,"telephone","married",0,"no"
"143",143,39,"yes","yes",193,"telephone","married",0,"no"
"144",144,53,"no","yes",136,"telephone","married",0,"no"
"145",145,38,"no","yes",73,"telephone","divorced",0,"no"
"146",146,42,"no","yes",528,"telephone","married",0,"no"
"147",147,42,"no","no",541,"telephone","married",0,"no"
"148",148,35,"no","yes",338,"telephone","single",0,"no"
"149",149,40,"yes","yes",163,"telephone","married",0,"no"
"150",150,51,"no","yes",87,"telephone","married",0,"no"
"151",151,60,"no","no",301,"telephone","married",0,"no"
"152",152,56,"no","yes",46,"telephone","married",0,"no"
"153",153,39,"no","yes",52,"telephone","divorced",0,"no"
"154",154,56,"no","no",204,"telephone","married",0,"no"
"155",155,40,"no","yes",155,"telephone","married",0,"no"
"156",156,36,"no","yes",98,"telephone","married",0,"no"
"157",157,51,"no","yes",71,"telephone","married",0,"no"
"158",158,51,"no","no",243,"telephone","married",0,"no"
"159",159,43,"no","yes",186,"telephone","single",0,"no"
"160",160,59,"no","no",579,"telephone","married",0,"no"
"161",161,24,"yes","yes",165,"telephone","single",0,"no"
"162",162,37,"no","yes",163,"telephone","single",0,"no"
"163",163,40,"no","no",46,"telephone","married",0,"no"
"164",164,42,"no","no",559,"telephone","married",0,"no"
"165",165,39,"no","no",2033,"telephone","divorced",0,"no"
"166",166,37,"no","no",85,"telephone","married",0,"no"
"167",167,38,"no","yes",506,"telephone","married",0,"no"
"168",168,56,"no","no",114,"telephone","divorced",0,"no"
"169",169,40,"no","no",114,"telephone","married",0,"no"
"170",170,54,"yes","yes",843,"telephone","divorced",0,"no"
"171",171,43,"no","no",181,"telephone","married",0,"no"
"172",172,36,"no","no",427,"telephone","married",0,"no"
"173",173,45,"yes","yes",292,"telephone","married",0,"no"
"174",174,42,"yes","no",192,"telephone","single",0,"no"
"175",175,43,"no","no",93,"telephone","married",0,"no"
"176",176,46,"no","no",128,"telephone","married",0,"no"
"177",177,44,"no","yes",107,"telephone","married",0,"no"
"178",178,51,"no","no",303,"telephone","single",0,"no"
"179",179,28,"no","yes",81,"telephone","married",0,"no"
"180",180,37,"no","no",270,"telephone","married",0,"no"
"181",181,34,"no","no",228,"telephone","married",0,"no"
"182",182,46,"no","yes",240,"telephone","married",0,"no"
"183",183,42,"no","yes",673,"telephone","married",0,"yes"
"184",184,36,"yes","yes",233,"telephone","married",0,"no"
"185",185,54,"no","no",102,"telephone","married",0,"no"
"186",186,57,"yes","no",461,"telephone","married",0,"no"
"187",187,51,"no","no",250,"telephone","married",0,"no"
"188",188,54,"no","no",130,"telephone","married",0,"no"
