"","id","gender","time","performance","feedback","activity"
"1",1,1,1,96.4525103,"negative","emg_bi"
"2",1,1,2,101.19486,"negative","emg_bi"
"3",1,1,3,99.5946483,"negative","emg_bi"
"4",1,1,4,98.4448271,"negative","emg_bi"
"5",1,1,5,95.8855478,"negative","emg_bi"
"6",1,1,6,96.4154193,"negative","emg_bi"
"7",1,1,7,94.6297523,"negative","emg_bi"
"8",1,1,8,94.7516227,"negative","emg_bi"
"9",1,1,9,94.4707908,"negative","emg_bi"
"10",1,1,10,94.3966088,"negative","emg_bi"
"11",1,1,11,91.3392502,"negative","emg_bi"
"12",1,1,12,92.2877202,"negative","emg_bi"
"13",2,1,1,88.5851022,"negative","emg_bi"
"14",2,1,2,92.7663667,"negative","emg_bi"
"15",2,1,3,88.6858556,"negative","emg_bi"
"16",2,1,4,88.7682902,"negative","emg_bi"
"17",2,1,5,87.8889881,"negative","emg_bi"
"18",2,1,6,91.6855579,"negative","emg_bi"
"19",2,1,7,87.9897415,"negative","emg_bi"
"20",2,1,8,87.9943212,"negative","emg_bi"
"21",2,1,9,86.3410501,"negative","emg_bi"
"22",2,1,10,87.2295116,"negative","emg_bi"
"23",2,1,11,89.5422592,"negative","emg_bi"
"24",2,1,12,88.9652172,"negative","emg_bi"
"25",3,1,1,93.6981357,"negative","emg_bi"
"26",3,1,2,105.505873,"negative","emg_bi"
"27",3,1,3,115.441259,"negative","emg_bi"
"28",3,1,4,113.050064,"negative","emg_bi"
"29",3,1,5,157.300076,"negative","emg_bi"
"30",3,1,6,158.676141,"negative","emg_bi"
"31",3,1,7,134.62561,"negative","emg_bi"
"32",3,1,8,137.861137,"negative","emg_bi"
"33",3,1,9,132.134513,"negative","emg_bi"
"34",3,1,10,124.596768,"negative","emg_bi"
"35",3,1,11,148.592514,"negative","emg_bi"
"36",3,1,12,126.114629,"negative","emg_bi"
"37",4,1,1,72.7725118,"negative","emg_bi"
"38",4,1,2,78.771722,"negative","emg_bi"
"39",4,1,3,82.5157978,"negative","emg_bi"
"40",4,1,4,90.0947867,"negative","emg_bi"
"41",4,1,5,88.4439179,"negative","emg_bi"
"42",4,1,6,95.0592417,"negative","emg_bi"
"43",4,1,7,94.2417062,"negative","emg_bi"
"44",4,1,8,100.323855,"negative","emg_bi"
"45",4,1,9,106.563981,"negative","emg_bi"
"46",4,1,10,107.626382,"negative","emg_bi"
"47",4,1,11,86.9036335,"negative","emg_bi"
"48",4,1,12,93.6887836,"negative","emg_bi"
"49",5,1,1,95.5617301,"negative","emg_bi"
"50",5,1,2,95.227323,"negative","emg_bi"
"51",5,1,3,92.8864737,"negative","emg_bi"
"52",5,1,4,93.7323268,"negative","emg_bi"
"53",5,1,5,93.0930193,"negative","emg_bi"
"54",5,1,6,94.7404657,"negative","emg_bi"
"55",5,1,7,93.5552878,"negative","emg_bi"
"56",5,1,8,93.373331,"negative","emg_bi"
"57",5,1,9,90.94888,"negative","emg_bi"
"58",5,1,10,90.2112174,"negative","emg_bi"
"59",5,1,11,89.2866803,"negative","emg_bi"
"60",5,1,12,88.4309917,"negative","emg_bi"
"61",6,1,1,106.483845,"negative","emg_bi"
"62",6,1,2,114.981778,"negative","emg_bi"
"63",6,1,3,123.916275,"negative","emg_bi"
"64",6,1,4,100.202601,"negative","emg_bi"
"65",6,1,5,112.134707,"negative","emg_bi"
"66",6,1,6,116.690397,"negative","emg_bi"
"67",6,1,7,107.157508,"negative","emg_bi"
"68",6,1,8,103.666882,"negative","emg_bi"
"69",6,1,9,108.570694,"negative","emg_bi"
"70",6,1,10,100.676799,"negative","emg_bi"
"71",6,1,11,80.9335934,"negative","emg_bi"
"72",6,1,12,106.685191,"negative","emg_bi"
"73",7,1,1,98.7948885,"negative","emg_bi"
"74",7,1,2,101.0111,"negative","emg_bi"
"75",7,1,3,109.019681,"negative","emg_bi"
"76",7,1,4,102.012872,"negative","emg_bi"
"77",7,1,5,101.509188,"negative","emg_bi"
"78",7,1,6,109.713646,"negative","emg_bi"
"79",7,1,7,103.708609,"negative","emg_bi"
"80",7,1,8,100.434661,"negative","emg_bi"
"81",7,1,9,99.5448186,"negative","emg_bi"
"82",7,1,10,99.5783975,"negative","emg_bi"
"83",7,1,11,96.7465721,"negative","emg_bi"
"84",7,1,12,95.8231508,"negative","emg_bi"
"85",8,1,1,95.668812,"negative","emg_bi"
"86",8,1,2,94.3369033,"negative","emg_bi"
"87",8,1,3,96.7075019,"negative","emg_bi"
"88",8,1,4,96.0663966,"negative","emg_bi"
"89",8,1,5,95.4700196,"negative","emg_bi"
"90",8,1,6,96.5534379,"negative","emg_bi"
"91",8,1,7,95.2513481,"negative","emg_bi"
"92",8,1,8,94.058594,"negative","emg_bi"
"93",8,1,9,93.074572,"negative","emg_bi"
"94",8,1,10,91.076709,"negative","emg_bi"
"95",8,1,11,92.6521383,"negative","emg_bi"
"96",8,1,12,93.3677907,"negative","emg_bi"
"97",9,1,1,107.87527,"negative","emg_bi"
"98",9,1,2,97.8986187,"negative","emg_bi"
"99",9,1,3,96.2314793,"negative","emg_bi"
"100",9,1,4,105.296005,"negative","emg_bi"
"101",9,1,5,107.133349,"negative","emg_bi"
"102",9,1,6,108.726297,"negative","emg_bi"
"103",9,1,7,111.66343,"negative","emg_bi"
"104",9,1,8,93.6653065,"negative","emg_bi"
"105",9,1,9,95.1840618,"negative","emg_bi"
"106",9,1,10,108.041111,"negative","emg_bi"
"107",9,1,11,96.3100356,"negative","emg_bi"
"108",9,1,12,97.9422611,"negative","emg_bi"
"109",10,1,1,96.5042581,"negative","emg_bi"
"110",10,1,2,97.0836147,"negative","emg_bi"
"111",10,1,3,94.143271,"negative","emg_bi"
"112",10,1,4,95.7767952,"negative","emg_bi"
"113",10,1,5,93.7250888,"negative","emg_bi"
"114",10,1,6,92.056716,"negative","emg_bi"
"115",10,1,7,92.2353146,"negative","emg_bi"
"116",10,1,8,89.1860693,"negative","emg_bi"
"117",10,1,9,86.3633394,"negative","emg_bi"
"118",10,1,10,86.8381504,"negative","emg_bi"
"119",10,1,11,87.3521661,"negative","emg_bi"
"120",10,1,12,87.8574696,"negative","emg_bi"
"121",11,1,1,95.6330477,"negative","emg_bi"
"122",11,1,2,93.4885213,"negative","emg_bi"
"123",11,1,3,97.1864547,"negative","emg_bi"
"124",11,1,4,91.687669,"negative","emg_bi"
"125",11,1,5,92.686615,"negative","emg_bi"
"126",11,1,6,91.5960225,"negative","emg_bi"
"127",11,1,7,92.1550658,"negative","emg_bi"
"128",11,1,8,94.4049856,"negative","emg_bi"
"129",11,1,9,91.2706777,"negative","emg_bi"
"130",11,1,10,92.4529166,"negative","emg_bi"
"131",11,1,11,91.2844247,"negative","emg_bi"
"132",11,1,12,92.8744902,"negative","emg_bi"
