,action,who,s_time,e_time,t_time,sub_action,action:sub_action
0,Child utterance,Child,13.999,15.454,1.455,utterance,Child utterance:utterance
1,Child utterance,Child,46.772,49.681,2.909,utterance,Child utterance:utterance
2,Child utterance,Child,50.772,53.544,2.772,utterance,Child utterance:utterance
3,Child utterance,Child,65.453,68.135,2.682,utterance,Child utterance:utterance
4,Child utterance,Child,82.362,84.498,2.136,utterance,Child utterance:utterance
5,Child utterance,Child,112.77000000000001,114.588,1.818,utterance,Child utterance:utterance
6,Child utterance,Child,114.61099999999999,116.293,1.682,utterance,Child utterance:utterance
7,Child utterance,Child,136.882,137.655,0.773,utterance,Child utterance:utterance
8,Child utterance,Child,142.404,143.131,0.727,utterance,Child utterance:utterance
9,Child utterance,Child,281.992,283.492,1.5,utterance,Child utterance:utterance
10,Child utterance,Child,287.742,290.423,2.681,utterance,Child utterance:utterance
11,Child utterance,Child,334.149,335.28499999999997,1.136,utterance,Child utterance:utterance
12,Child gaze,Child,8.409,10.454,2.045,robot,Child gaze:robot
13,Child gaze,Child,10.454,11.454,1.0,parent,Child gaze:parent
14,Child gaze,Child,11.545,13.454,1.909,robot,Child gaze:robot
15,Child gaze,Child,13.999,14.863,0.864,parent,Child gaze:parent
16,Child gaze,Child,15.227,46.954,31.727,robot,Child gaze:robot
17,Child gaze,Child,47.044,49.726,2.682,parent,Child gaze:parent
18,Child gaze,Child,57.226,64.999,7.773,robot,Child gaze:robot
19,Child gaze,Child,65.454,68.81700000000001,3.363,parent,Child gaze:parent
20,Child gaze,Child,69.135,81.59,12.455,robot,Child gaze:robot
21,Child gaze,Child,81.77199999999999,85.95400000000001,4.182,parent,Child gaze:parent
22,Child gaze,Child,86.135,114.453,28.318,robot,Child gaze:robot
23,Child gaze,Child,114.589,116.18,1.591,parent,Child gaze:parent
24,Child gaze,Child,116.56700000000001,120.93,4.363,robot,Child gaze:robot
25,Child gaze,Child,121.089,121.907,0.818,props,Child gaze:props
26,Child gaze,Child,122.021,122.657,0.636,robot,Child gaze:robot
27,Child gaze,Child,122.771,123.953,1.182,props,Child gaze:props
28,Child gaze,Child,124.135,124.408,0.273,robot,Child gaze:robot
29,Child gaze,Child,124.522,125.794,1.272,parent,Child gaze:parent
30,Child gaze,Child,125.885,126.975,1.09,props,Child gaze:props
31,Child gaze,Child,127.134,127.953,0.819,robot,Child gaze:robot
32,Child gaze,Child,128.136,128.681,0.545,props,Child gaze:props
33,Child gaze,Child,128.885,132.02100000000002,3.136,robot,Child gaze:robot
34,Child gaze,Child,132.248,141.976,9.728,props,Child gaze:props
35,Child gaze,Child,142.044,143.499,1.455,parent,Child gaze:parent
36,Child gaze,Child,143.589,143.998,0.409,robot,Child gaze:robot
37,Child gaze,Child,144.13400000000001,146.679,2.545,props,Child gaze:props
38,Child gaze,Child,146.792,147.247,0.455,parent,Child gaze:parent
39,Child gaze,Child,147.451,148.996,1.545,props,Child gaze:props
40,Child gaze,Child,149.135,151.499,2.364,parent,Child gaze:parent
41,Child gaze,Child,151.564,152.337,0.773,robot,Child gaze:robot
42,Child gaze,Child,152.473,154.2,1.727,props,Child gaze:props
43,Child gaze,Child,154.586,155.677,1.091,parent,Child gaze:parent
44,Child gaze,Child,155.835,156.29,0.455,props,Child gaze:props
45,Child gaze,Child,156.403,157.857,1.454,robot,Child gaze:robot
46,Child gaze,Child,157.925,161.471,3.546,props,Child gaze:props
47,Child gaze,Child,161.584,166.402,4.818,robot,Child gaze:robot
