,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG,time
Child utterance:utterance,1.0,0.0008010287337269347,0.02642039178782526,0.2026380855490067,0.05482314344664415,0.0017856958643725186,0.027337029554909867,0.0019958036863681706,0.004030307331308999,0.0009666972091254585,0.011030073656695751,0.00936586203209723,0.004030307331308999,0.02554318581416515,0.1454942047281539,0.012401682532762009,0.0012879572903753186,0.0012024798598253316,0.07091359621550751,0.00427243553531774,0.004780002747205301,0.00022769546087993438,0.007866343234559873,0.015268357132307663,0.042421078681828116,2.822388317087513e-05,0.03053374913090824,0.000797387587409432,0.00040020276195380653,0.02091896196596834,0.123873211775077,0.19712581870628443,0.08609081917434742,0.11949896421548369,0.016767007467169272,0.011240924670563424,0.26242597991291805,1.0
Child utterance:other vocalization,0.008234888631522752,1.0,0.12789126275360616,0.30511059750252323,0.011154550218179876,0.004977410955676386,0.0017905344731966133,0.030002981033151056,0.002241595650368048,0.011807028058242778,0.006132529497009804,0.005207709880411821,0.002241595650368048,0.08256755657543315,0.011948463496934276,0.03526459605943471,0.012774438427525275,0.0006688980109702116,0.03929317904031389,0.003603140839890055,0.023075626339014547,0.01108562426837474,0.033593011962931435,0.018969366849120792,0.01621139271507807,0.0045178923541607605,0.3280746678153976,0.006364646096571421,0.00022262809022751542,0.00022262809022751542,0.401823511684526,0.009179006413796976,0.008706189801126033,0.003603140839890055,0.05719505592590083,0.05115233410779677,0.0891239212816256,1.0
Child gaze:robot,0.008203243791159378,0.003862581047991326,1.0,0.08237424480428622,0.2816983788298778,0.0011060690372094602,7.538310526270039e-05,0.012717725192838349,0.0036049469645370613,0.002975671952711807,0.02052378565692199,0.002900514552990934,0.0014754511653521888,0.0702777021788491,0.0060891604349064795,0.07013885917276123,0.012634560863628928,0.00010560498553047452,0.009624190070848975,0.0314360189228671,0.0015873161829492134,0.007212092428078144,0.022888360386954753,0.00016556782186164927,7.714027503768101e-05,8.445306799072194e-05,0.00053930334403133,0.0030081644822957795,0.001928962000595876,0.0012105744123394992,0.0002556716289095162,0.018029520362218616,2.2759350109999307e-07,0.00015261176627478013,0.3375008179911728,0.12591061548723803,0.05725037610818585,1.0
Child gaze:parent,0.11250649787891462,0.01647798827701504,0.14729961557630972,1.0,0.05043022158613689,0.012069562189333681,0.013172902693192453,0.0011507881189674828,0.00014034188303812308,8.62358172751851e-05,0.014874744118436952,0.0007514984368354187,0.00543199822463837,0.007295188233341621,0.09300501817314771,0.017147575405543528,0.01086324162534998,0.0016203164816248356,0.009762670064729508,0.008734242553052626,0.00031203109514753644,3.319632791513254e-06,0.0037491126751186053,0.004958082415850109,0.007051061188390272,0.0002847703620335051,0.0030356146327381412,0.005797144505783112,0.0005392300210895743,0.0005392300210895743,0.029149077871023457,0.08026385741483623,0.07628483934842112,0.026862381925943278,0.06075350996014905,0.01399876574848153,0.5254325998390943,1.0
Child gaze:props,0.01863962508685787,0.000368905956159068,0.30846878435688,0.03088215393286727,1.0,3.872444054245781e-06,0.0073480848569106045,0.01921276345015389,0.012477326931969427,0.004186754794257043,0.049865700894447786,0.0013060697646123654,0.0018690061540037573,0.036382703638493254,0.025441080228035536,0.17022620866808424,0.01699990204721494,0.001931888760207829,0.07046074551293256,0.04629883881020315,0.000283698634026422,0.03564573657373416,0.14146483943805055,0.003782203324864728,0.0012052060154077655,0.0038011150053742994,0.012903974365866013,0.02010812824814426,0.0009125961475421241,0.0009125961475421241,0.0033544072787436386,0.007229750675818329,0.035913242899499556,0.014806374610335425,0.1602066949763057,0.3227643292963407,0.03429884468421626,1.0
Child gesture:point at prop,0.002586800307355377,0.0007013733745793722,0.005160494043616012,0.031491285954003155,1.649936856086697e-05,1.0,0.002818538173370301,4.807333714186003e-06,0.0035286531175712315,0.0003033735352126336,0.0057425726339710445,0.00819913047400511,0.0035286531175712315,0.0306143088227777,0.01857482002879905,7.741699709237791e-05,0.020120748108992836,0.0010528711584045262,0.061988169833328124,0.05523339356759455,7.233289106193051e-05,0.017459083291442423,0.12669035300411105,0.029888799173045964,0.025539191357957812,0.00711280145479644,0.026717238895529648,0.005292026476282576,0.0003504168766763231,0.0003504168766763231,0.0010293402959564082,0.014454764854395417,0.013709832969662966,0.0056723710565002704,0.06415748040226851,0.0011069361317448578,0.019738601755560206,1.0
Child gesture:other,0.08832239195717682,0.0005627202599078332,0.0007844172909172214,0.07665569953833543,0.0698265240500758,0.0062861973313985894,1.0,0.037908150857248864,0.002830889795460196,0.014913278970794659,0.00774519176629911,0.006577076415472509,0.002830889795460196,0.014504845835988276,0.015170235105372626,0.039640634416075876,0.016135457784398014,0.0008447240874277735,0.04965456500665567,0.004550470088495603,0.03014438619926451,0.003207351293460606,0.04244683219653053,0.0806392779036314,0.09295657486446601,0.005705808759454587,0.021421802001186395,0.00803837764640624,0.00028114599967107943,0.00028114599967107943,0.012793719684095777,0.011593366266057828,0.010996099989833934,0.004550470088495603,0.012727444171408538,0.029481237897804446,0.11407424577044216,1.0
Parent utterance:utterance,0.0008822010934089956,0.0012900440603346392,0.018105596716111266,0.0009161964577875041,0.02497850074183423,1.4668936585714164e-06,0.005186362538331879,1.0,0.00649396336268479,0.30601556566566673,0.15282136577217045,0.12902165761148945,0.054557470406409465,0.09634889123558306,0.015218371371194988,0.03498503726794922,0.057991073482677034,0.016135526120931037,0.00018081511591587642,0.0006655758937282711,0.021552073743845424,0.0039697690364669524,0.057052895449167126,0.010456972806336173,8.836970843919033e-05,0.027911378044072413,0.0011709082274207186,0.0050172270781525955,0.0006444807741513184,0.0006444807741513184,0.013478363784811426,0.02996413675054562,0.015521118259674461,0.0024697935626590275,0.0692751905394978,0.03225084740236324,0.00019656086003409697,1.0
Parent utterance:missing data,0.010868489480131617,0.0005880018125570133,0.03131003402769542,0.0006816505536879744,0.09896447842105005,0.006568777946960165,0.0023628409441126133,0.0396178668133063,1.0,0.015584249633562914,0.008093408241701312,0.006872741292029284,0.00295810233615389,0.0003382792102758247,0.0056684827513460235,4.158256700209841e-05,0.03877012840043071,0.0008826763729473517,0.0518970390294045,0.004754990356484598,0.030465569857146612,0.014631827622334783,0.044362219680914285,0.02504192455424728,0.021399722020409327,0.005962284731046923,0.022386247868567036,0.008399786012560029,0.0002937768114559713,0.0002937768114559713,0.013369204352677716,0.012114793688069225,0.01149063483079577,0.004754990356484598,0.07557650778927207,0.0020512616491859294,0.00041688500598115565,1.0
Verbal scaffolding:cognitive,0.0007521164135790604,0.0008935637906170854,0.007456470229231172,0.00012084418385405784,0.009580736340736367,0.00016293593722221106,0.0035912715393506193,0.538627283315091,0.004496239878254338,1.0,0.01230733776741968,0.010449984445720817,0.004496239878254338,0.025093370151791576,0.014169395567255185,0.0036861042718393943,0.03390026007556633,0.04325393471672177,0.013364375790263519,0.007228600301674444,0.011290926565645757,0.0013642389663332788,0.06769347051905654,0.006612555580766048,0.01670866988757766,0.008878792685410614,0.00018740956888534756,0.012773582913163092,0.00044642999733633074,0.00044642999733633074,0.0021997695732979957,0.007212099457034964,0.008237312559858588,0.00014406182109782985,0.021553194304371772,0.0027982673484856593,0.0011583313008964196,1.0
