,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[1, 1.0]","[1, 1.0]","[5, 0.21309916830308004]","[4, 0.01818603040418121]","[5, 0.973917704461437]","[2, 0.28994374494830777]","[3, 0.18686915784225527]","[1, 0.17967722846334916]","[1, 1.0]","[2, 0.3018941754018393]","[1, 0.9533223612219713]","[2, 0.30608377305068496]","[1, 1.0]","[4, 0.0852365452029192]","[1, 0.12428746910188002]","[1, 0.32088896975147596]","[4, 0.8606787495218452]","[1, 1.0]","[3, 0.896643580844793]","[5, 0.9991316522203424]","[5, 0.27726175732920944]","[2, 0.32500596556578576]","[5, 0.997936788822727]","[5, 0.33314941006475274]","[5, 0.5933535590184699]","[3, 0.027892517554124696]","[2, 0.6391321877405254]","[3, 0.3491289763717639]","[1, 1.0]","[1, 0.00028339349319225933]","[5, 7.842124675720733e-07]","[5, 7.775170585720532e-05]","[5, 4.30932957105308e-06]","[4, 0.0006153282029723461]","[5, 0.05725649084959219]","[5, 0.9000937080229796]","[4, 0.0016138485556553466]"
Child utterance:other vocalization,"[1, 1.0]","[1, 1.0]","[2, 0.45225092476845186]","[2, 0.21134883101590482]","[1, 0.018520658106628295]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.2732711924621789]","[1, 0.0038474806158665543]","[1, 0.0005320055051392616]","[1, 1.0]","[1, 1.0]","[2, 0.001985523758807693]","[5, 1.3894949403772952e-33]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0762133412190309]","[5, 1.11729611364614e-11]","[1, 1.0]","[1, 1.0]","[2, 0.0005594052659702932]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.3056573371577456]","[1, 0.0022968299774997563]","[1, 0.0003214329412146814]"
Child gaze:robot,"[1, 9.701763024687049e-05]","[3, 0.0005326779049972596]","[1, 1.0]","[1, 0.0008100596372932179]","[3, 1.0146861937572349e-08]","[5, 0.3599077097250269]","[1, 0.10792534713053674]","[1, 0.7008185785270693]","[5, 0.019524063194994258]","[1, 0.5127263517407139]","[5, 0.09140971557006163]","[1, 0.0815189123354034]","[4, 0.03963149837977915]","[2, 0.0005625878828498735]","[1, 0.002469310820172072]","[1, 0.22502131930043134]","[4, 0.24774883280742005]","[1, 0.029181438406210233]","[5, 0.0009630387289202754]","[4, 0.4363132446904744]","[2, 0.7641788328802029]","[1, 0.08750160528492314]","[1, 0.9265761967726954]","[4, 0.18440089658263262]","[1, 0.9779046323915708]","[5, 0.101747031113312]","[4, 0.20245682811210267]","[3, 0.25024708125180867]","[5, 0.15117204853043656]","[1, 1.0]","[1, 0.2767815092994339]","[4, 0.019487144855724205]","[4, 0.258510762813082]","[1, 0.02918143840620784]","[2, 0.00770957485012719]","[3, 0.0003823600456673397]","[1, 2.928518933236651e-06]"
Child gaze:parent,"[5, 0.0007447971467426875]","[2, 0.005144736402240548]","[5, 0.11572471178863142]","[1, 1.0]","[3, 0.004713814754673995]","[1, 1.0]","[4, 0.5945253600019277]","[3, 0.28267219810326044]","[5, 0.026319090848470894]","[3, 0.3961456283442858]","[3, 0.9974993618918941]","[1, 0.013006509452404568]","[1, 1.0]","[1, 9.170717357204347e-08]","[2, 1.2856030402490479e-05]","[3, 0.8876303294506188]","[2, 0.030827490814149126]","[4, 0.9577567382346355]","[3, 0.30316388851203496]","[5, 0.35442573755028645]","[5, 0.23896314478192004]","[2, 0.030203262302111244]","[1, 0.0022968299775000035]","[5, 0.040905723968570507]","[5, 0.8646768021697001]","[2, 0.2757753416432213]","[3, 0.09612527114560677]","[3, 0.5827180274637458]","[4, 0.00048494505140204904]","[1, 1.0]","[5, 0.0003663763399476737]","[5, 0.2541540705588215]","[5, 5.092913340898364e-06]","[5, 0.11034940887580844]","[1, 8.418045374463272e-06]","[3, 0.26256807358229617]","[5, 3.13184303948922e-07]"
Child gaze:props,"[3, 0.9427794968772937]","[3, 0.0036876893155272303]","[3, 9.068025980736551e-10]","[2, 0.0325316569944997]","[2, 0.9999999999999598]","[3, 0.6983407771766812]","[2, 0.9999999999999598]","[2, 0.01285598012945482]","[4, 0.33459071227896703]","[2, 0.2081103088312028]","[3, 0.024078764435201804]","[2, 0.7631762455950375]","[5, 0.052280209315819684]","[1, 0.2943140943541522]","[3, 0.01372037275713847]","[2, 0.0039101255458716825]","[2, 0.1867177028147169]","[5, 0.015918645332099555]","[3, 0.12499657884012375]","[5, 0.47705226330552597]","[1, 0.16006813772394718]","[1, 0.3562338299077088]","[2, 0.9999999999999598]","[4, 0.010717115908186824]","[1, 0.029113459964915024]","[5, 0.016608977940876082]","[5, 0.03339907889867228]","[1, 0.2613392361583159]","[2, 0.9999999999999598]","[2, 0.9999999999999598]","[2, 0.4842479353935323]","[3, 0.7664379221372178]","[2, 0.9999999999999598]","[2, 0.9999999999999598]","[1, 0.001854679034962285]","[3, 0.0025887883458002494]","[1, 0.1368165793365087]"
Child gesture:point at prop,"[2, 0.17599946330505006]","[1, 1.0]","[3, 0.7407676467250395]","[1, 1.0]","[4, 0.8195611056975509]","[1, 1.0]","[1, 1.0]","[2, 0.002553819426967737]","[1, 1.0]","[2, 0.20137760811994934]","[2, 0.04923068023872634]","[1, 1.0]","[5, 1.3451072705863537e-07]","[4, 0.9998730840888609]","[4, 0.9998419643772387]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.9856180451308941]","[4, 0.9518587154533783]","[3, 0.3130686270227347]","[1, 1.0]","[3, 1.1197190098106905e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.552807695567646]","[2, 0.015438574312079796]","[1, 1.0]","[1, 1.0]","[2, 0.005352675604177019]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9998865793413784]","[1, 1.0]","[1, 1.0]"
Child gesture:other,"[5, 0.012016975771274339]","[1, 1.0]","[3, 0.4991084858341076]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 7.364362281784444e-05]","[4, 0.10254389694520422]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.016189172151607457]","[4, 0.0001711834003435159]","[1, 1.0]","[4, 0.00037813096859965986]","[4, 0.0001022578362880805]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.062352291829245815]","[1, 1.0]","[1, 1.0]"
Parent utterance:utterance,"[3, 0.4644755986759056]","[1, 1.0]","[4, 0.001772742212565676]","[1, 0.5916936595232645]","[4, 0.03877659962690484]","[2, 0.11898352292568685]","[1, 1.0]","[1, 1.0]","[3, 0.43923528823819435]","[1, 0.6087008000564872]","[2, 0.5604051875325557]","[5, 0.417602781147117]","[2, 0.552752309049609]","[4, 0.13525622022174388]","[1, 0.009623167513012523]","[2, 0.4758094008354872]","[2, 0.0003675069434074324]","[1, 0.014777552667574696]","[2, 0.009461302175225592]","[1, 0.08606756787233644]","[3, 0.25073989953016773]","[2, 0.5848522227973624]","[1, 0.022362072853272578]","[4, 0.27380236094282256]","[5, 0.010641780116680094]","[5, 0.05365841257533488]","[5, 0.01692141601374486]","[1, 0.3394226921377893]","[1, 1.0]","[2, 0.927831380001516]","[5, 0.6607165420288912]","[5, 0.004586937892879677]","[3, 0.6721785241616998]","[3, 0.011219926352510713]","[5, 0.49018404650431313]","[4, 0.05261993057229674]","[1, 0.22081542776081908]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[2, 0.3101784782978517]","[1, 0.029328933468184173]","[2, 0.0005766861231188171]","[1, 1.0]","[1, 1.0]","[4, 0.9961782129620219]","[1, 1.0]","[4, 0.9791374422611251]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.39027601996283234]","[2, 0.11932675583246032]","[5, 2.5618654558085045e-05]","[3, 2.5661785531440004e-06]","[4, 0.0642123842669633]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.841418446567671]","[4, 0.08935655229383135]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.003773595174648912]","[4, 0.0011901423504033207]","[1, 0.011362221876002648]"
Verbal scaffolding:cognitive,"[1, 0.30299586897873004]","[1, 1.0]","[4, 0.0018791447630242444]","[1, 0.40046512359653386]","[4, 0.13827599881555847]","[1, 0.06281184751609939]","[1, 1.0]","[1, 0.4131615667969163]","[3, 0.08600350302274967]","[1, 1.0]","[5, 0.9999933364331695]","[1, 0.1448805713730392]","[5, 0.03829796348504584]","[4, 0.15230304733037228]","[3, 0.06243651599809073]","[5, 0.014325908549991122]","[1, 0.0016149730608877057]","[1, 0.000157626390670242]","[2, 0.04304074398815615]","[1, 0.9223828033005439]","[3, 0.7719851089588433]","[4, 0.24486320051109206]","[4, 6.82007706715819e-05]","[3, 0.6762931252386926]","[2, 0.05350409711907226]","[1, 0.07394729284886613]","[1, 0.2634184695206118]","[5, 0.9999698241381209]","[1, 1.0]","[2, 0.8863441453204588]","[5, 0.10535151617509753]","[4, 0.43329182131089716]","[2, 0.8119083238923996]","[2, 0.0012866684815714502]","[5, 0.1911475897322135]","[3, 0.21400850739895377]","[5, 0.6406563242579137]"
