,utterance,other vocalization,robot,parent,props,point at prop,other,missing data,cognitive,technical,affective,instruction translation,child,song,teach,pick up,try again,positive feedback,put down,start,end,PC,CP,PCP,CPC,MG
utterance,"[1, 1.0]","[1, 1.0]","[2, 0.0633326828080704]","[1, 0.22484386110777055]","[1, 0.16037809604391445]","[3, 0.02824175839227849]","[2, 0.17099392386506898]","[3, 0.523222647993788]","[2, 0.35191032139983114]","[2, 0.720608007481849]","[1, 0.8328062687460139]","[2, 0.5226628690489463]","[2, 0.38567582406778533]","[1, 0.03865995586795468]","[5, 0.12417879102960387]","[5, 0.09431248717025055]","[3, 0.1742874387832395]","[5, 0.0525785545044739]","[1, 0.3877439621190585]","[1, 1.0]","[1, 0.052291549006645205]","[1, 0.7359966159047688]","[5, 0.14898926484197614]","[5, 0.07437852349832523]","[2, 0.04693672710804976]","[4, 0.21389851433175497]"
other vocalization,"[1, 1.0]","[1, 1.0]","[2, 0.40758547530325706]","[5, 0.008362454177390457]","[1, 0.008394262535033944]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.016723818163669996]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0762133412190309]","[5, 1.11729611364614e-11]","[1, 1.0]","[1, 1.0]","[2, 0.0005594052659702932]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0003214329412146814]"
robot,"[1, 0.04886483422090465]","[1, 0.02038582736425854]","[1, 1.0]","[1, 0.00014456055078393478]","[1, 0.003795810860633511]","[2, 0.0658221492686707]","[1, 0.1123796315833778]","[5, 0.326264130912078]","[2, 0.3911759412783022]","[5, 0.40572621618944793]","[5, 0.365687409077135]","[4, 0.023604177756206067]","[2, 0.20910003869941107]","[4, 0.9988447746004488]","[2, 0.33797077092322736]","[2, 0.7433579506765046]","[4, 0.1640296927699173]","[4, 0.1504066112109924]","[1, 0.30122973391769964]","[5, 0.046105573210699476]","[1, 1.0]","[1, 0.020385827364259396]","[4, 0.006110375897883358]","[3, 0.12156475118472854]","[5, 0.0106903141929869]","[1, 2.940531868924698e-05]"
parent,"[1, 0.1645717768133497]","[2, 0.009322375154601189]","[5, 0.008921002222290175]","[1, 1.0]","[1, 0.002973709435809861]","[2, 0.2110837776836483]","[2, 0.10376395196376272]","[5, 0.05421731303083822]","[3, 0.812004589100185]","[1, 0.2772176482287475]","[1, 0.018520658106626044]","[1, 1.0]","[1, 0.03470847913335113]","[1, 0.0038474806158664892]","[5, 0.058532866958542415]","[1, 0.3851227312352632]","[2, 0.31802903899352886]","[5, 0.03714297266409338]","[3, 0.994166820850101]","[4, 0.0011772842526111497]","[1, 1.0]","[5, 0.000496724992917968]","[5, 0.2812974561132855]","[5, 1.7865309238441707e-05]","[5, 0.16253290615398513]","[5, 2.7438826964772938e-06]"
props,"[2, 0.01938560482745947]","[3, 0.0004585190912304201]","[2, 3.149351145661191e-05]","[2, 0.026626270233666812]","[1, 1.0]","[1, 0.027692295591110742]","[1, 0.32755734473559867]","[4, 0.3693786649434371]","[2, 0.11458412278346666]","[2, 0.6058122060114399]","[3, 0.6505686387067895]","[3, 0.01511157849670574]","[3, 0.06617447577114545]","[1, 1.0]","[4, 0.05085269295036847]","[2, 0.09679965589719013]","[3, 0.6243602813489206]","[5, 0.005718747566688095]","[1, 0.2388232964564534]","[1, 1.0]","[1, 1.0]","[2, 0.41443379815564485]","[2, 0.497332322101502]","[1, 1.0]","[1, 1.0]","[1, 0.0986762606469094]"
point at prop,"[1, 0.17553756732760983]","[1, 1.0]","[1, 0.39615217661072466]","[1, 0.02088674614898271]","[2, 0.4753287834127571]","[1, 1.0]","[2, 0.10276714311153595]","[4, 0.06024582756789902]","[2, 0.7532318871318224]","[2, 0.09876097013289767]","[5, 0.8152159880148494]","[2, 0.17745552049097588]","[1, 0.047099132944889675]","[4, 0.0003471225459583864]","[5, 0.0003319166906558831]","[1, 0.35194826156950165]","[1, 0.18889149369060185]","[1, 0.015583553332340206]","[5, 1.3912467052954127e-05]","[1, 1.0]","[1, 1.0]","[2, 0.4222087902806243]","[1, 0.2011311002485236]","[1, 0.9382085218591223]","[5, 0.9998537311612901]","[1, 0.1617054919255626]"
other,"[4, 0.44875473159710566]","[1, 1.0]","[4, 0.2392374132344924]","[2, 0.1096090990442857]","[1, 0.36790199130487733]","[2, 0.23474710300839993]","[1, 1.0]","[3, 0.019510224457733396]","[1, 0.21915527029169635]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.2240121873763397]","[1, 1.0]","[5, 0.0016634214450960056]","[1, 0.18288345317434263]","[1, 0.027023203664148]","[1, 0.007556084984603087]","[1, 1.0]","[3, 5.506426986703853e-09]","[2, 0.9542213676635302]","[4, 0.2603327621793371]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.21899060464818276]"
missing data,"[4, 0.9973435351846899]","[1, 1.0]","[4, 0.08198883835549438]","[1, 0.03906440576109838]","[1, 0.00017872013311332388]","[3, 0.0028614247905955586]","[4, 0.9562752944347213]","[1, 1.0]","[4, 0.9791374422611251]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.2451786422743107]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.841418446567671]","[4, 0.08935655229383135]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.011362221876002648]"
cognitive,"[1, 0.46729346674056693]","[1, 1.0]","[3, 0.017797028385616476]","[1, 0.4072692540296011]","[3, 0.10744287969645239]","[1, 0.02639205295419366]","[2, 0.13804380991596585]","[3, 0.08600350302274967]","[1, 1.0]","[5, 0.9999933364331695]","[1, 0.1448805713730392]","[5, 0.03829796348504584]","[1, 0.4663515722610181]","[4, 6.82007706715819e-05]","[3, 0.6762931252386926]","[2, 0.05350409711907226]","[1, 0.07394729284886613]","[1, 0.2634184695206118]","[5, 0.9999698241381209]","[1, 1.0]","[2, 0.8863441453204588]","[5, 0.10535151617509753]","[4, 0.43329182131089716]","[2, 0.8119083238923996]","[2, 0.0012866684815714502]","[5, 0.6406563242579137]"
technical,"[5, 0.15896886818278952]","[1, 1.0]","[5, 0.0018644136696261652]","[1, 0.02891398734299315]","[3, 0.44597068697535425]","[2, 0.027021395518409454]","[1, 1.0]","[1, 1.0]","[4, 0.7341534237469982]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.030715597681546435]","[1, 1.0]","[5, 0.15976094463319027]","[1, 0.14156193495109975]","[5, 2.1127803252308073e-07]","[2, 0.3216982851867595]","[5, 1.9309833723224638e-05]","[1, 1.0]","[1, 1.0]","[2, 0.14362309908111343]","[5, 0.20402082095150903]","[1, 1.0]","[1, 1.0]","[2, 0.3832184795690446]"
