,utterance,other vocalization,robot,parent,props,point at prop,other,missing data,cognitive,technical,affective,instruction translation,child,song,teach,pick up,try again,positive feedback,put down,start,end,PC,CP,PCP,CPC,MG,time
utterance,1.0,0.0014712376962502589,0.05337021363658553,0.014150335174493097,0.007579502591084425,0.0031258850635525167,2.4506094442146956e-05,0.007407652063881761,0.23004595556224428,0.11603599509251984,0.098100136749447,0.0416508117966207,0.028148532686757367,0.02173586000209384,0.0144107864956966,0.0030682362565926636,0.018054661372818397,5.066381481673304e-05,0.003312119797408829,0.0007349822812766383,0.004099963077851997,0.04468885106285208,0.08773084443391241,0.04162878025201775,0.027762688812693368,0.02854783377097916,1.0
other vocalization,0.0387131155510679,1.0,0.1707257422868664,0.27918843354247413,0.006201896912792554,0.04193215948511675,0.013504195991255364,0.002241595650368048,0.011807028058242778,0.006132529497009804,0.005207709880411821,0.002241595650368048,6.058161419490549e-06,0.033593011962931435,0.018969366849120792,0.01621139271507807,0.0045178923541607605,0.3280746678153976,0.006364646096571421,0.00022262809022751542,0.00022262809022751542,0.401823511684526,0.009179006413796976,0.008706189801126033,0.003603140839890055,0.0891239212816256,1.0
robot,0.046356498700359926,0.005635538418499984,1.0,0.07345999055398243,0.13834768125036168,0.0005457874598438078,0.004419706938416553,1.1624211796309189e-05,0.005507894825974432,0.036633572501935,0.0013424592984003568,0.004257009432519923,0.0373714333524837,0.01154569591694772,0.004300672476266225,0.0024934950428489307,0.002020063621032032,0.0004884397007190048,0.0034856590833525483,0.0009162052675418579,0.0009162052675418579,0.004936890715060193,0.024670420405693855,0.00017429063526335433,0.0003311287816530089,0.06024835091808403,1.0
parent,0.01801955963485499,0.013511376268831771,0.10770022969175687,1.0,0.009130030460184443,0.0001676876270183486,0.0003891119050815485,0.00040810472526338234,0.0009095881954997924,0.002744224128279469,0.0015561038321508826,0.005875312094617145,0.009208494210945165,0.00032833984815514624,0.008510423435066796,0.002669277745109817,0.0008275997407869337,0.00026663278375685585,2.767357936420189e-05,0.0005831749294963296,0.0005831749294963296,0.03328516106452084,0.059054216138729826,0.05618498338589767,0.019682599323267647,0.4201464703529786,1.0
props,0.006282222894322758,0.00019535381582394667,0.13201790449624104,0.005942475713128583,1.0,0.0027704725480654367,0.038845864130200115,0.009646508610381029,0.004688769509899404,0.06664290989649946,0.0025619694467271695,0.0028378821867580195,0.004082086229485274,0.16021087695775563,0.002016022983028499,0.002234520819538734,0.0036479092868134753,0.007909735548958364,0.02164115883645415,0.001027328694539611,0.001027328694539611,0.0060761613885246535,0.007996187055976078,0.0404829152427232,0.016676609176194776,0.03483560986777123,1.0
point at prop,0.00301863156363227,0.0015388952266216646,0.0006068047495927076,0.0001271629739263637,0.0032278869742483297,1.0,0.018533251899878245,0.00019248762880295917,0.0008308766500646491,0.03516997102013495,0.0027092374715822357,0.007748933227048658,0.0526862349355825,0.00016184274244497644,0.2550616972230818,0.03728764305110136,0.0003912441967954512,0.04747575532154747,0.0010872465036514403,0.0007687741082258723,0.0007687741082258723,0.0047696812936371645,0.00080883500193624,3.495158199293246e-05,6.08200356750932e-07,0.00037533364998013595,1.0
other,4.4610865802958734e-05,0.0009342433209068577,0.009262929043516454,0.0005562417993306255,0.0853176138355837,0.03493663513275612,1.0,0.004701107571251709,0.007098906300383837,0.012869172849520145,0.01092681479712025,0.004701107571251709,0.00637331577497932,0.07082858891123299,0.0019862863835071074,0.0005909123044032257,0.002158223745063911,0.035650946708663735,0.013356768685530603,0.012424829815342058,0.0004667515823293664,1.6120103636957623e-05,0.019271708135450878,0.018277605997166737,0.007558182424094975,0.0058814923378460735,1.0
missing data,0.051130170969593235,0.0005880018125570133,9.237373387325019e-05,0.0022120291530811106,0.08033303784161244,0.001375822439830143,0.0178250316310091,1.0,0.015584249633562914,0.008093408241701312,0.006872741292029284,0.00295810233615389,0.03664848888377776,0.044362219680914285,0.02504192455424728,0.021399722020409327,0.005962284731046923,0.022386247868567036,0.008399786012560029,0.0002937768114559713,0.0002937768114559713,0.013369204352677716,0.012114793688069225,0.01149063483079577,0.004754990356484598,0.00041688500598115565,1.0
cognitive,0.4581153551597807,0.0008935637906170854,0.012627989150292715,0.0014224192316363504,0.011265396846884006,0.00171340368711619,0.007765781037687211,0.004496239878254338,1.0,0.01230733776741968,0.010449984445720817,0.004496239878254338,0.00038093223604922016,0.06769347051905654,0.006612555580766048,0.01670866988757766,0.008878792685410614,0.00018740956888534756,0.012773582913163092,0.00044642999733633074,0.00044642999733633074,0.0021997695732979957,0.007212099457034964,0.008237312559858588,0.00014406182109782985,0.0011583313008964196,1.0
technical,0.368074035937524,0.0007392763587329019,0.13378580625841374,0.0068357250238575435,0.25504908433675,0.11552536761778456,0.02242469459882831,0.0037194371973776705,0.019604073655510135,1.0,0.008642790189029794,0.0037194371973776705,0.0018045634244951382,0.055867136291192714,0.010834872962332907,0.0013318012408143997,0.03249347668501864,0.02816769500225618,0.11869346568191184,0.00036935266161579637,0.00036935266161579637,0.000112653727461663,0.012517787204974934,0.014452394136441204,0.005979172516753871,0.020808841901337836,1.0
