,total time,count,normalized total time,normalized count
Child gaze,296.598,85,0.8973026283944044,0.25715184665279056
Child gesture,12.136999999999999,6,0.03671825838617551,0.01815189505784404
Child prop manipulation,69.27100000000002,18,0.20956665375865247,0.05445568517353212
Child utterance,12.818999999999999,13,0.03878152379108379,0.03932910595866208
Conversational turns,63.24500000000003,14,0.19133610048889116,0.042354421801636094
Joint attention,135.65999999999997,42,0.41041434725785364,0.12706326540490828
Mutual gaze,20.980000000000018,14,0.06347112638559471,0.042354421801636094
Parent gaze,280.45399999999995,59,0.8484619294254319,0.1784936347354664
Parent gesture,22.229000000000003,13,0.0672497458734692,0.03932910595866208
Parent prop manipulation,6.819,2,0.02062962873323975,0.0060506316859480136
Parent utterance,45.457,39,0.13752178227406942,0.11798731787598626
Verbal scaffolding,38.319,33,0.11592707778692096,0.09983542281814221
robot pointing,40.709,19,0.12315758265162885,0.05748100101650613
robot text,199.743,57,0.604285662423157,0.17244300304951837
start-end,0.40800000000000003,2,0.001234328863933395,0.0060506316859480136
CP,16.623000000000033,5,0.05028982525775701,0.015126579214870033
CPC,7.295000000000016,1,0.022069679074495425,0.0030253158429740068
MG,20.980000000000018,14,0.06347112638559471,0.042354421801636094
PC,20.144999999999982,5,0.06094498765671131,0.015126579214870033
PCP,19.182000000000002,3,0.0580316084999274,0.00907594752892202
affective,8.001,7,0.024205552059635024,0.021177210900818047
child,160.99699999999996,39,0.487066774771286,0.11798731787598626
cognitive,16.954,16,0.05129120480178131,0.04840505348758411
end,0.181,1,0.0005475821675782952,0.0030253158429740068
instruction translation,3.501,3,0.010591630766251997,0.00907594752892202
missing data,4.137,2,0.012515731642383465,0.0060506316859480136
other,23.902999999999995,13,0.07231412459460766,0.03932910595866208
other vocalization,0.364,1,0.0011012149668425384,0.0030253158429740068
parent,41.007000000000005,20,0.12405912677283511,0.06050631685948013
pick up,28.082,11,0.08495691950239606,0.033278474272714076
point at prop,71.666,35,0.21681228520257514,0.10588605450409024
positive feedback,30.087000000000003,11,0.09102267776755894,0.033278474272714076
props,185.08,63,0.5599254562176292,0.1905948981073624
put down,11.833,5,0.03579856236991142,0.015126579214870033
robot,401.718,84,1.2153238298078322,0.25412653080981656
song,67.0,1,0.20269616147925845,0.0030253158429740068
start,0.227,1,0.0006867466963550996,0.0030253158429740068
teach,33.998000000000005,15,0.10285468802943029,0.0453797376446101
technical,9.863,7,0.029838690159252626,0.021177210900818047
try again,8.249,4,0.024955830388692583,0.012101263371896027
utterance,53.775,49,0.16268635945592722,0.14824047630572632
Child gaze:parent,34.188,18,0.10342949803959535,0.05445568517353212
Child gaze:props,87.865,30,0.2658193765429111,0.0907594752892202
Child gaze:robot,174.545,37,0.5280537538118979,0.11193668619003824
Child gesture:other,2.7729999999999997,2,0.00838920083256692,0.0060506316859480136
Child gesture:point at prop,9.363999999999999,4,0.028329057553608594,0.012101263371896027
Child prop manipulation:child,69.27100000000002,18,0.20956665375865247,0.05445568517353212
Child utterance:other vocalization,0.364,1,0.0011012149668425384,0.0030253158429740068
Child utterance:utterance,12.454999999999998,12,0.03768030882424125,0.03630379011568808
Conversational turns:CP,16.623000000000033,5,0.05028982525775701,0.015126579214870033
Conversational turns:CPC,7.295000000000016,1,0.022069679074495425,0.0030253158429740068
Conversational turns:PC,20.144999999999982,5,0.06094498765671131,0.015126579214870033
Conversational turns:PCP,19.182000000000002,3,0.0580316084999274,0.00907594752892202
Joint attention:props,40.031000000000006,18,0.12110641851009248,0.05445568517353212
Joint attention:robot,95.62899999999996,24,0.2893079287477612,0.07260758023137616
Mutual gaze:MG,20.980000000000018,14,0.06347112638559471,0.042354421801636094
Parent gaze:child,91.72600000000001,21,0.27750012101263377,0.06353163270245414
Parent gaze:props,57.184,15,0.1729996611646256,0.0453797376446101
Parent gaze:robot,131.54399999999998,23,0.3979621472481727,0.06958226438840215
Parent gesture:other,0.636,1,0.0019241008761314684,0.0030253158429740068
Parent gesture:point at prop,21.593,12,0.06532564499733773,0.03630379011568808
Parent prop manipulation:parent,6.819,2,0.02062962873323975,0.0060506316859480136
Parent utterance:missing data,4.137,2,0.012515731642383465,0.0060506316859480136
Parent utterance:utterance,41.32,37,0.12500605063168596,0.11193668619003824
Verbal scaffolding:affective,8.001,7,0.024205552059635024,0.021177210900818047
Verbal scaffolding:cognitive,16.954,16,0.05129120480178131,0.04840505348758411
Verbal scaffolding:instruction translation,3.501,3,0.010591630766251997,0.00907594752892202
Verbal scaffolding:technical,9.863,7,0.029838690159252626,0.021177210900818047
robot pointing:point at prop,40.709,19,0.12315758265162885,0.05748100101650613
robot text:other,20.493999999999996,10,0.06200082288590928,0.030253158429740065
robot text:pick up,28.082,11,0.08495691950239606,0.033278474272714076
robot text:positive feedback,30.087000000000003,11,0.09102267776755894,0.033278474272714076
robot text:put down,11.833,5,0.03579856236991142,0.015126579214870033
robot text:song,67.0,1,0.20269616147925845,0.0030253158429740068
robot text:teach,33.998000000000005,15,0.10285468802943029,0.0453797376446101
robot text:try again,8.249,4,0.024955830388692583,0.012101263371896027
start-end:end,0.181,1,0.0005475821675782952,0.0030253158429740068
start-end:start,0.227,1,0.0006867466963550996,0.0030253158429740068
