,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child gaze,[2 0 2 2 1 1 1],[-3 -2 -1  0  1  2  3  4]
1,action,Child affect,action,Child gesture,[2 0 1 1 0 0 2],[-3 -2 -1  0  1  2  3  4]
2,action,Child affect,action,Child prop manipulation,[9 3 4 3 1 5 3],[-3 -2 -1  0  1  2  3  4]
3,action,Child affect,action,Child utterance,[3 3 5 4 3 4 1],[-3 -2 -1  0  1  2  3  4]
4,action,Child affect,action,Conversational turns,[ 6  7 10 11  5 12  6],[-3 -2 -1  0  1  2  3  4]
5,action,Child affect,action,Joint attention,[4 4 5 3 3 4 3],[-3 -2 -1  0  1  2  3  4]
6,action,Child affect,action,Mutual gaze,[0 0 1 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
7,action,Child affect,action,Parent affect,[0 2 2 2 2 1 2],[-3 -2 -1  0  1  2  3  4]
8,action,Child affect,action,Parent affective touch,[0 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
9,action,Child affect,action,Parent gaze,[ 5  7 10  4  6  5  6],[-3 -2 -1  0  1  2  3  4]
10,action,Child affect,action,Parent gesture,[1 2 3 1 4 2 0],[-3 -2 -1  0  1  2  3  4]
11,action,Child affect,action,Parent prop manipulation,[0 2 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
12,action,Child affect,action,Parent utterance,[ 8 12  7  5  8 10 17],[-3 -2 -1  0  1  2  3  4]
13,action,Child affect,action,Verbal scaffolding,[ 8 12  7  5  8 10 17],[-3 -2 -1  0  1  2  3  4]
14,action,Child affect,action,robot pointing,[1 0 3 2 1 1 1],[-3 -2 -1  0  1  2  3  4]
15,action,Child affect,action,robot text,[ 6  5  6 10  7  7  5],[-3 -2 -1  0  1  2  3  4]
16,action,Child affect,action,start-end,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
17,action,Child affect,sub_action,CP,[2 2 3 4 2 2 0],[-3 -2 -1  0  1  2  3  4]
18,action,Child affect,sub_action,CPC,[2 2 2 2 2 1 0],[-3 -2 -1  0  1  2  3  4]
19,action,Child affect,sub_action,MG,[0 0 1 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
20,action,Child affect,sub_action,PC,[1 2 3 3 1 5 4],[-3 -2 -1  0  1  2  3  4]
21,action,Child affect,sub_action,PCP,[1 1 2 2 0 4 2],[-3 -2 -1  0  1  2  3  4]
22,action,Child affect,sub_action,affective,[1 2 1 1 0 0 2],[-3 -2 -1  0  1  2  3  4]
23,action,Child affect,sub_action,affective touch,[0 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
24,action,Child affect,sub_action,child,[10  6  9  4  4  7  6],[-3 -2 -1  0  1  2  3  4]
25,action,Child affect,sub_action,cognitive,[3 7 3 2 3 8 9],[-3 -2 -1  0  1  2  3  4]
26,action,Child affect,sub_action,correction,[1 0 0 2 1 1 0],[-3 -2 -1  0  1  2  3  4]
27,action,Child affect,sub_action,end,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
28,action,Child affect,sub_action,instruction translation,[1 1 3 1 2 2 4],[-3 -2 -1  0  1  2  3  4]
29,action,Child affect,sub_action,missing data,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
30,action,Child affect,sub_action,other,[1 0 0 2 2 0 1],[-3 -2 -1  0  1  2  3  4]
31,action,Child affect,sub_action,parent,[0 2 1 2 0 0 0],[-3 -2 -1  0  1  2  3  4]
32,action,Child affect,sub_action,pick up,[0 1 1 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
33,action,Child affect,sub_action,point at prop,[4 2 7 4 5 3 3],[-3 -2 -1  0  1  2  3  4]
34,action,Child affect,sub_action,positive 1,[7 7 6 8 3 2 1],[-3 -2 -1  0  1  2  3  4]
35,action,Child affect,sub_action,positive 2,[4 3 6 7 7 2 2],[-3 -2 -1  0  1  2  3  4]
36,action,Child affect,sub_action,positive 3,[0 0 1 3 0 1 1],[-3 -2 -1  0  1  2  3  4]
37,action,Child affect,sub_action,positive feedback,[1 2 2 3 1 3 2],[-3 -2 -1  0  1  2  3  4]
38,action,Child affect,sub_action,put down,[2 2 0 1 1 2 0],[-3 -2 -1  0  1  2  3  4]
39,action,Child affect,sub_action,scaffolding,[0 1 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
40,action,Child affect,sub_action,start,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
41,action,Child affect,sub_action,tablet,[10  8 11  7  7  8  7],[-3 -2 -1  0  1  2  3  4]
42,action,Child affect,sub_action,teach,[1 0 3 1 2 0 2],[-3 -2 -1  0  1  2  3  4]
43,action,Child affect,sub_action,technical,[3 1 0 1 3 0 2],[-3 -2 -1  0  1  2  3  4]
44,action,Child affect,sub_action,try again,[0 0 0 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
45,action,Child affect,sub_action,utterance,[11 15 12  9 11 14 18],[-3 -2 -1  0  1  2  3  4]
46,action,Child affect,action:sub_action,Child affect:positive 1,[7 6 5 8 3 2 1],[-3 -2 -1  0  1  2  3  4]
47,action,Child affect,action:sub_action,Child affect:positive 2,[4 2 5 6 5 2 0],[-3 -2 -1  0  1  2  3  4]
48,action,Child affect,action:sub_action,Child affect:positive 3,[0 0 1 2 0 0 1],[-3 -2 -1  0  1  2  3  4]
49,action,Child affect,action:sub_action,Child gaze:parent,[0 0 1 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
50,action,Child affect,action:sub_action,Child gaze:tablet,[2 0 1 1 1 1 1],[-3 -2 -1  0  1  2  3  4]
51,action,Child affect,action:sub_action,Child gesture:point at prop,[2 0 1 1 0 0 2],[-3 -2 -1  0  1  2  3  4]
52,action,Child affect,action:sub_action,Child prop manipulation:child,[9 3 4 3 1 5 3],[-3 -2 -1  0  1  2  3  4]
53,action,Child affect,action:sub_action,Child utterance:utterance,[3 3 5 4 3 4 1],[-3 -2 -1  0  1  2  3  4]
54,action,Child affect,action:sub_action,Conversational turns:CP,[2 2 3 4 2 2 0],[-3 -2 -1  0  1  2  3  4]
55,action,Child affect,action:sub_action,Conversational turns:CPC,[2 2 2 2 2 1 0],[-3 -2 -1  0  1  2  3  4]
56,action,Child affect,action:sub_action,Conversational turns:PC,[1 2 3 3 1 5 4],[-3 -2 -1  0  1  2  3  4]
57,action,Child affect,action:sub_action,Conversational turns:PCP,[1 1 2 2 0 4 2],[-3 -2 -1  0  1  2  3  4]
