,total time,count,normalized total time,normalized count
Child affect,24.560000000000002,8,0.056921686328134054,0.018541265904929657
Child gaze,224.73999999999995,71,0.5208705124342363,0.16455373490625072
Child gesture,2.4800000000000004,3,0.0057477924305281945,0.006952974714348622
Child prop manipulation,80.48,18,0.18652513500359236,0.04171784828609173
Child utterance,163.54,67,0.37902982826152454,0.1552831019537859
Conversational turns,2075.54,247,4.810392379539713,0.5724615848147032
Joint attention,108.38000000000004,49,0.25118779984703465,0.11356525366769415
Mutual gaze,19.760000000000097,20,0.04579692678517648,0.046353164762324144
Non-verbal scaffolding,28.400000000000006,30,0.0658214939625003,0.06952974714348621
Parent affect,94.39999999999999,23,0.21878693767816995,0.053306139476672766
Parent affective touch,1.8,2,0.004171784828609173,0.004635316476232414
Parent gaze,260.71999999999997,107,0.6042598558416575,0.24798943147843416
Parent gesture,19.540000000000003,25,0.045287041972790695,0.05794145595290518
Parent prop manipulation,13.04,5,0.03022226342503534,0.011588291190581036
Parent utterance,93.14000000000001,80,0.21586668829814357,0.18541265904929657
Verbal scaffolding,64.36,56,0.1491644842051591,0.1297888613345076
robot pointing,29.169999999999998,14,0.06760609080584976,0.0324472153336269
robot text,140.06199999999998,46,0.3246158481470322,0.10661227895334553
start-end,0.48000000000000004,2,0.0011124759542957795,0.004635316476232414
CP,349.08,62,0.8090481377616056,0.14369481076320484
CPC,592.5800000000002,55,1.3733979187429024,0.1274712030963914
MG,19.760000000000097,20,0.04579692678517648,0.046353164762324144
PC,446.54,65,1.0349271096484112,0.15064778547755348
PCP,687.3399999999997,65,1.593019213386793,0.15064778547755348
affective,17.82,12,0.04130066980323081,0.027811898857394487
affective touch,1.8,2,0.004171784828609173,0.004635316476232414
child,173.28,64,0.4016038195007764,0.14833012723943725
cognitive,70.84,69,0.16418290958815213,0.1599184184300183
correction,6.957,3,0.016123948362574452,0.006952974714348622
end,0.28,1,0.0006489443066725381,0.002317658238116207
instruction translation,0.86,1,0.0019931860847799384,0.002317658238116207
missing data,98.6,1,0.22852110227825803,0.002317658238116207
other,9.058,5,0.020993348320856604,0.011588291190581036
other vocalization,0.54,1,0.001251535448582752,0.002317658238116207
parent,41.7,25,0.09664634852944586,0.05794145595290518
pick up,16.402,7,0.038014230421582036,0.01622360766681345
point at prop,50.390000000000015,41,0.11678679861867572,0.0950239877627645
positive 1,48.480000000000004,16,0.11236007138387373,0.03708253180985931
positive 2,45.56000000000001,10,0.10559250932857442,0.023176582381162072
positive 3,24.92,5,0.05775604329385589,0.011588291190581036
positive feedback,14.243,5,0.03301040628548914,0.011588291190581036
props,344.64000000000016,87,0.79875773518437,0.20163626671611004
put down,31.07,13,0.07200964145827056,0.030129557095510694
robot,125.58,72,0.2910515215426333,0.16687139314436691
robot or prop,2.16,2,0.005006141794331008,0.004635316476232414
song,40.64,1,0.09418963079704266,0.002317658238116207
start,0.2,1,0.0004635316476232415,0.002317658238116207
teach,15.824,9,0.036674623959950865,0.020858924143045864
technical,3.24,4,0.007509212691496512,0.009270632952464828
try again,6.667999999999999,4,0.015454145131758868,0.009270632952464828
utterance,157.53999999999996,145,0.3651238788328272,0.33606044452685
Child affect:positive 1,7.920000000000001,5,0.018355853245880363,0.011588291190581036
Child affect:positive 2,7.960000000000001,2,0.01844855957540501,0.004635316476232414
Child affect:positive 3,8.68,1,0.02011727350684868,0.002317658238116207
Child gaze:parent,28.659999999999997,20,0.06642408510441049,0.046353164762324144
Child gaze:props,123.07999999999998,26,0.28525737594734274,0.06025911419102139
Child gaze:robot,73.00000000000001,25,0.16918905138248316,0.05794145595290518
Child gesture:point at prop,2.4800000000000004,3,0.0057477924305281945,0.006952974714348622
Child prop manipulation:child,80.48,18,0.18652513500359236,0.04171784828609173
Child utterance:missing data,98.6,1,0.22852110227825803,0.002317658238116207
Child utterance:utterance,64.94,66,0.1505087259832665,0.15296544371566967
Conversational turns:CP,349.08,62,0.8090481377616056,0.14369481076320484
Conversational turns:CPC,592.5800000000002,55,1.3733979187429024,0.1274712030963914
Conversational turns:PC,446.54,65,1.0349271096484112,0.15064778547755348
Conversational turns:PCP,687.3399999999997,65,1.593019213386793,0.15064778547755348
Joint attention:props,89.36000000000006,29,0.2071059401580644,0.06721208890537
Joint attention:robot,19.01999999999998,20,0.04408185968897021,0.046353164762324144
Mutual gaze:MG,19.760000000000097,20,0.04579692678517648,0.046353164762324144
Non-verbal scaffolding:affective,8.44,4,0.019561035529700788,0.009270632952464828
