,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7.92
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8.42
2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,8.92
3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.42
4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.92
5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10.42
6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,10.92
7,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,11.42
8,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,11.92
9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12.42
10,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12.92
11,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,13.42
12,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,13.92
13,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,14.42
14,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,14.92
15,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,15.42
16,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,15.92
17,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16.42
18,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16.92
19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17.42
20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17.92
21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18.42
22,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,18.92
23,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,19.42
24,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19.92
25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20.42
26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.92
27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.42
28,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21.92
29,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22.42
30,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,22.92
31,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,23.42
32,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,23.92
33,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,24.42
34,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,24.92
35,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,25.42
36,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,25.92
37,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,26.42
38,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,26.92
39,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,27.42
40,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,27.92
41,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,28.42
42,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,28.92
43,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,29.42
44,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,29.92
45,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,30.42
46,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,30.92
47,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,31.42
48,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,31.92
