,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,time
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.05
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.55
2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.05
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.55
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.05
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.55
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.05
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.55
8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.05
9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.55
10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.05
11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.55
12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10.05
13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10.55
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.05
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.55
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.05
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.55
18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.05
19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.55
20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14.05
21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14.55
22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.05
23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.55
24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.05
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.55
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.05
27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.55
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.05
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.55
30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.05
31,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.55
32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.05
33,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.55
34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21.05
35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21.55
36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22.05
37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22.55
38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23.05
39,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23.55
40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24.05
41,0,1,0,0,0,0,0,0,0,0,1,1,0,0,24.55
42,0,1,0,0,0,0,0,0,0,0,1,1,0,0,25.05
43,0,1,0,0,0,0,0,0,0,0,1,1,0,0,25.55
44,0,1,0,0,0,0,0,0,0,0,1,1,0,0,26.05
45,0,1,0,0,0,0,0,0,0,0,0,1,0,0,26.55
46,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27.05
47,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27.55
48,0,1,0,0,0,0,0,0,0,0,0,1,0,0,28.05
49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,28.55
50,0,1,0,0,0,0,0,0,0,0,0,1,0,0,29.05
51,0,1,0,0,0,0,0,0,0,0,0,1,0,0,29.55
52,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30.05
53,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30.55
54,0,1,0,0,0,0,0,0,0,0,0,1,0,0,31.05
55,0,1,0,0,0,0,0,0,0,0,0,1,0,0,31.55
56,0,1,0,0,0,0,0,0,0,0,0,1,0,0,32.05
57,0,1,0,0,0,0,0,0,0,0,1,1,0,0,32.55
58,0,1,0,0,0,0,0,0,0,0,1,1,0,0,33.05
59,0,1,0,0,0,0,0,0,0,0,1,1,0,0,33.55
60,0,1,0,0,0,0,0,0,0,0,1,1,0,0,34.05
61,0,1,0,0,0,0,0,0,0,0,0,1,0,0,34.55
62,0,1,0,0,0,0,0,0,0,0,0,1,0,0,35.05
63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.55
64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36.05
65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36.55
66,0,1,0,0,0,0,0,0,0,0,0,1,0,0,37.05
67,0,1,0,0,0,0,0,0,0,0,0,1,0,0,37.55
68,0,1,0,0,0,0,0,0,0,0,0,1,0,0,38.05
69,0,1,0,0,0,0,0,0,0,0,0,1,0,0,38.55
70,0,1,0,0,0,0,0,0,0,0,0,1,0,0,39.05
71,0,1,0,0,0,0,0,0,0,0,0,1,0,0,39.55
72,0,1,0,0,0,0,0,0,0,0,0,1,0,0,40.05
73,0,1,0,0,0,0,0,0,0,0,1,1,0,0,40.55
74,0,1,0,0,0,0,0,0,0,0,1,1,0,0,41.05
75,0,1,0,0,0,0,0,0,0,0,1,1,0,0,41.55
76,0,1,0,0,0,0,0,0,0,0,1,1,0,0,42.05
77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,42.55
78,0,1,0,0,0,0,0,0,0,0,0,1,0,0,43.05
79,0,1,0,0,0,0,0,0,0,0,0,1,0,0,43.55
80,0,1,0,0,0,0,0,0,0,0,0,1,0,0,44.05
81,0,1,0,0,0,0,0,0,0,0,0,1,0,0,44.55
82,0,1,0,0,0,0,0,0,0,0,0,1,0,0,45.05
83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,45.55
84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,46.05
85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,46.55
86,0,1,0,0,0,0,0,0,0,0,0,1,0,0,47.05
87,0,1,0,0,0,0,0,0,0,0,0,1,0,0,47.55
88,0,1,0,0,0,0,0,0,0,0,0,1,0,0,48.05
89,0,1,0,0,0,0,0,0,0,0,0,1,0,0,48.55
90,0,1,0,0,0,0,0,0,0,0,1,1,0,0,49.05
91,0,1,0,0,0,0,0,0,0,0,1,1,0,0,49.55
92,0,1,0,0,0,0,0,0,0,0,1,1,0,0,50.05
93,0,1,0,0,0,0,0,0,0,0,1,1,0,0,50.55
94,0,1,0,0,0,0,0,0,0,0,0,1,0,0,51.05
95,0,1,0,0,0,0,0,0,0,0,0,1,0,0,51.55
96,0,1,0,0,0,0,0,0,0,0,0,1,0,0,52.05
97,0,1,0,0,0,0,0,0,0,0,0,1,0,0,52.55
98,0,1,0,0,0,0,0,0,0,0,0,1,0,0,53.05
99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,53.55
100,0,1,0,0,0,0,0,0,0,0,0,1,0,0,54.05
101,0,1,0,0,0,0,0,0,0,0,0,1,0,0,54.55
102,0,1,0,0,0,0,0,0,0,0,0,1,0,0,55.05
103,0,1,0,0,0,0,0,0,0,0,0,1,0,0,55.55
104,0,1,0,0,0,0,0,0,0,0,0,1,0,0,56.05
105,0,1,0,0,0,0,0,0,0,0,0,1,0,0,56.55
106,0,1,0,0,0,0,0,0,0,0,0,1,0,0,57.05
107,0,1,0,0,0,0,0,0,0,0,0,1,0,0,57.55
108,0,1,0,0,0,0,0,0,0,0,0,1,0,0,58.05
109,0,1,0,0,0,0,0,0,0,0,0,1,0,0,58.55
110,0,1,0,0,0,0,0,0,0,0,0,1,0,0,59.05
111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,59.55
112,0,1,0,0,0,0,0,0,0,0,1,1,0,0,60.05
