,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,time
Child utterance,1.0,0.000626807312788929,0.13586441629141485,0.0013890746077581848,0.0005902268487109218,0.0029938413729052836,0.002506496447080454,0.003629454554648967,0.020267306662335286,0.00961078590652326,0.007863578624759313,0.005295243145188062,0.0005546086939275683,0.30197849255640385,1.0
Child gaze,0.00015847194598809939,1.0,0.020204546724352797,0.003115139930277481,0.013169535509409786,0.013328877506345246,0.005623061697250608,0.008145210603846273,0.045733867142701425,0.011318153073795805,0.054771294182014575,0.01939332705505634,0.005839263166154235,0.008480717438154277,1.0
Child affect,0.09400114062087077,0.05529147447508294,1.0,0.0015829142884891238,1.6265682674833443e-05,0.0038111033825563487,0.0028563443280386945,0.004136152729570474,0.023106278041022842,0.005744980752294802,0.0016573192505483058,1.7716018094596762e-05,0.0006319894577870404,0.027000233732560924,1.0
Child gesture,0.0054147080146013365,0.04802956942867655,0.008918246523706853,1.0,0.003681102933707482,0.008600830595072205,0.001785067516561289,0.0025847249379103415,0.01071798582393299,0.003589823797341265,0.017251060230980577,0.13590498785150065,0.00039500215191666803,0.025338731735325158,1.0
Parent utterance,0.00013823588311203682,0.01219983484531946,5.50613340564754e-06,0.00022117208999382256,1.0,0.7081118586318605,0.00509098657195105,0.008459496509513654,0.001114664298463187,0.0074539516818502675,0.011861953962830591,0.1406234955902879,0.0014073734982992213,0.058235107113964436,1.0
Verbal scaffolding,0.0007586584060500501,0.013359577660639969,0.001395856657465843,0.0005591243576351053,0.7661565623613775,1.0,0.001677156426734103,0.011991170921692678,0.0023715025624817905,0.011250817194694148,0.010396635943595809,0.1114058890331128,0.0012394451423746952,0.047056801060750775,1.0
Non-verbal scaffolding,0.006008301723191079,0.05331374038535322,0.009896184971099448,0.0010977155530011227,0.05210564326769547,0.015865023608815115,1.0,0.0028680171529727786,0.016008630272345892,0.06338162662340074,0.01914399150234509,0.005131407619894488,0.0004382881879904391,0.028120954957704607,1.0
Parent gesture,0.006455992125772486,0.05730672776442474,0.010633856612320868,0.0011794688950773652,0.06424869554686656,0.08417162935331726,0.0021282308443071754,1.0,0.04085770506267143,0.004280051936800752,0.020572359493860406,0.16247211510016799,0.0004709279889792345,0.03022111082762906,1.0
Child prop manipulation,0.010048586067983123,0.08968679556810782,0.016558138720800752,0.0013632409591320203,0.0023596694997287324,0.0046399684512370065,0.003311146923557615,0.011388361849346648,1.0,0.0004555276843665285,0.027946970131489543,0.009165633763010423,0.0007325633814609837,0.0022102045212951315,1.0
Parent prop manipulation,0.01318764890974096,0.061427904535475364,0.01139382790696726,0.0012636655209119318,0.04367100804685114,0.06092212641540261,0.03628166540976355,0.0033016868771061267,0.0012607074866469623,1.0,0.022044440550352328,0.09519685184869618,0.0005045424382681031,0.0047837203715181895,1.0
robot pointing,0.003468712718368176,0.09556145768318978,0.0010566395882769574,0.0019521555541891686,0.02234099458029542,0.018097702609967306,0.003522864600203815,0.005101648995596697,0.024864166889179876,0.007086612846680995,1.0,0.12132976863538922,0.0007793736825814767,0.000878945420346124,1.0
robot text,0.0011061954550267857,0.01602433251760425,5.349148838062564e-06,0.007283361886580895,0.1254301732771269,0.0918410041170744,0.0004471959249048307,0.01908108948142141,0.0038618868493007063,0.014493059525262801,0.05745994861758458,1.0,2.7686988051034546e-05,0.0034243426615368114,1.0
start-end,0.0046988583805058735,0.19567952932030191,0.007739058339322857,0.0008585303931414939,0.050911186827844124,0.04143959516486138,0.0015491048324046445,0.0022430479441281877,0.012518202446210162,0.0031152643894948305,0.014969363010173226,0.0011228853945054232,1.0,0.021986251997179827,1.0
Conversational turns,0.10533655780264431,0.011700848782513072,0.013612667513718209,0.0022674541454793134,0.08673335738491919,0.06477508944615955,0.004092121630480249,0.005926412870963285,0.0015549866134298433,0.0012160751703316208,0.0006950513927439703,0.005717871128906637,0.0009052085098697662,1.0,1.0
time,0.021292115637865684,0.0842171382658547,0.03077452936890885,0.0054622219883784994,0.09091111535158049,0.0840236082602905,0.008882478719592699,0.011970083695032802,0.04294473214470286,0.015517092265120241,0.04826926845777838,0.10192315369369281,0.0025131194619226224,0.06104016609035141,1.0
