,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:technical,Parent gesture:point at prop,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:positive feedback,robot text:put down,robot text:pick up,robot text:try again,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,time
Child utterance:utterance,1.0,0.01785376253429161,0.08730993050849971,0.1108835260926405,0.029218775989189188,0.0013890746077581848,0.0005902268487109218,0.001663710514077423,0.0005546086939275683,0.003629454554648967,0.002506496447080454,0.003629454554648967,0.020267306662335286,0.00961078590652326,0.007863578624759313,0.0070321020165242405,0.030489179097948446,0.006122812090809488,0.000673841773944241,0.013759755376651044,0.00707958199157709,0.004475339448956806,0.00027713471097503677,0.00027713471097503677,0.2785091696955896,0.3142906238264164,0.16732273770471656,0.08565580974776883,1.0
Child gaze:tablet,0.004209853807907146,1.0,0.022962336421092352,0.0017995048543455903,0.006809155236232008,0.0002359756636944496,0.007764512519272791,0.003334155318030656,0.0013897537614713826,0.008755158374445758,0.0062856941585841715,0.009105869887527724,0.05119850708453907,0.01265446159166662,0.040090576192995615,0.010993003031107132,0.03637843860923321,0.024937061704267606,3.742213163165579e-05,0.00021032052884328392,0.02165940205489318,0.0009892632462566407,0.0024149876887765965,0.0024149876887765965,0.0005204199002288239,0.012115127998294197,0.0018708380937384032,0.002746582105743542,1.0
Child gaze:parent,0.048247067745936345,0.05381286273158898,1.0,0.11721198698106455,0.19664763505065858,0.001997541508101186,1.6498881353616252e-07,0.0010214542760920656,0.0006953451084846843,0.0045511209352866525,0.0031428302494110566,0.0045511209352866525,0.025434680700597043,0.0008448258165776497,0.00047282885944541453,0.008819275704554964,0.03828268673899639,0.004706287326515832,0.0001571964672900358,0.0003516895931602796,0.0056542213321415305,0.00561203680924471,0.0003474553269199428,0.0003474553269199428,0.0015799927076659386,0.015109620597534606,0.00014413866297759576,0.0033885657088300793,1.0
Child affect:positive 2,0.15215124196984992,0.010471869842708008,0.29105376430658103,1.0,0.006656799205136222,0.0012636655209119318,0.01007261905185501,0.056076043018850594,0.0005045424382681031,0.0033016868771061267,0.002280172273118431,0.0033016868771061267,0.01843310771661044,0.004585698039848653,0.004507050509412536,0.0019124330434269398,0.027726140170653762,0.0032981277312577975,0.032122580333537556,0.011926907387453646,0.02288683366490023,0.004071139036085888,0.00025211775718578895,0.00025211775718578895,0.006973845139453827,0.018971457249597017,0.01172555662709466,0.06291556883696607,1.0
Child affect:positive 1,0.030081050485114905,0.029729455458101836,0.36636369135706415,0.004994453374417571,1.0,0.0013762495108285808,0.0037374236037998176,0.00326796491356387,0.0005494887161729228,0.0035959332271807455,0.002483350536904287,0.0035959332271807455,0.02007964287462393,0.004994453374417571,0.024014669546376974,0.0069671209775492016,0.030206407729186823,0.0012874150144952766,0.029892734942974983,0.015117449762595145,0.049976715625616924,0.004434000376712473,0.0002745763931122892,0.0002745763931122892,0.022127906872379154,0.03494427003697543,0.0023947776631729856,0.0030389532831116227,1.0
Child gesture:point at prop,0.0054147080146013365,0.0039010312166133662,0.014090876262119785,0.003589823797341265,0.005210935143914497,1.0,0.003681102933707482,0.011130333609445348,0.00039500215191666803,0.0025847249379103415,0.001785067516561289,0.0025847249379103415,0.01071798582393299,0.003589823797341265,0.017251060230980577,0.005007415723774387,0.021694773751860366,0.018792670261143656,0.021469698461454814,0.009335403204055355,0.017909972582588588,0.003187043085108633,0.0001973818832499516,0.0001973818832499516,0.014857498468671747,0.014426042298145801,0.018571549027679327,0.0021844077341443223,1.0
Parent utterance:utterance,0.00013823588311203682,0.007712208533375576,6.992766854808565e-08,0.0017192370655072463,0.0008502432142939835,0.00022117208999382256,1.0,0.6317707282098692,0.004739412189091434,0.031210087304358564,0.00509098657195105,0.008459496509513654,0.001114664298463187,0.0074539516818502675,0.011861953962830591,0.017891919014970066,0.0783700044744339,0.004002369970700796,0.03305280214949748,0.00089333791852184,0.0014728218785534312,0.00020128348740192374,0.0007031776807589984,0.0007031776807589984,0.029463627783348965,0.03479535072539256,0.029131546955813957,0.00020079462869299053,1.0
Verbal scaffolding:cognitive,0.00043742991017736574,0.0037177422826342272,0.0004860068201860074,0.010744831290691202,0.0008345975772918298,0.0007507397751339023,0.7092321005953783,1.0,0.0011806307400123203,0.007732985621643272,8.365792315133026e-06,0.013736480526160185,0.0038851939897040196,0.013153307366018932,0.012804032795761103,0.014997363701127878,0.06548673475021952,0.004183649503161044,0.0280767913395509,0.000466902641367478,0.0008225797608622266,2.413987472195561e-05,0.0005899081598637326,0.0005899081598637326,0.029388964154848658,0.025627498991639186,0.020181774280406593,0.0010360094992090017,1.0
Verbal scaffolding:technical,0.0046988583805058735,0.04993514097627007,0.010661021159448699,0.0031152643894948305,0.004522030441572082,0.0008585303931414939,0.17144638555762845,0.0380442524801691,1.0,0.0022430479441281877,0.6609027849712698,0.0022430479441281877,0.012518202446210162,0.0031152643894948305,0.014969363010173226,0.004345422028599789,0.018824831298149085,0.016306923563587754,0.01862955594197704,0.41483130986730793,0.015541063995479696,0.0027657358184345437,0.00017129207853982357,0.00017129207853982357,0.012892565997485818,0.012518202446210162,0.01611507178598555,0.001895653251384125,1.0
Verbal scaffolding:affective,0.006455992125772486,0.06604628208784434,0.014649834681042383,0.004280051936800752,0.006213013083932331,0.0011794688950773652,0.23703625800351213,0.05231643203077725,0.0004709279889792345,1.0,0.0021282308443071754,0.003081652368442239,0.017202674541887307,0.004280051936800752,0.002810219139265369,0.005970337779350412,0.0258734681881186,0.0019174179263250933,0.025604946462227125,0.011131333974970988,0.0008076475437070989,0.0037998040010324597,0.00023532119654596446,0.00023532119654596446,0.017717295782184474,0.017202674541887307,0.022147548225874066,0.002604356300687383,1.0
Non-verbal scaffolding:technical,0.006008301723191079,0.0638999657976218,0.013633214998604287,0.003983307436954979,0.005782181068261474,0.0010977155530011227,0.05210564326769547,7.62712747533284e-05,0.18698920693011017,0.0028680171529727786,1.0,0.0028680171529727786,0.016008630272345892,0.06338162662340074,0.01914399150234509,0.005556342365281853,0.024076167804138664,0.020855017176401938,0.007052260173799536,0.029134018793712503,0.019875309845300535,0.0035363668605892045,0.00021901151778510366,0.00021901151778510366,0.016487474839037373,0.016008630272345892,0.02060959307340231,0.0024238169207296515,1.0
Parent gesture:point at prop,0.006455992125772486,0.06869194428306791,0.014649834681042383,0.004280051936800752,0.006213013083932331,0.0011794688950773652,0.06424869554686656,0.09293223664836381,0.0004709279889792345,0.003081652368442239,0.0021282308443071754,1.0,0.04085770506267143,0.004280051936800752,0.020572359493860406,0.005970337779350412,0.0258734681881186,0.022411326790521536,0.025604946462227125,0.011131333974970988,0.021358356218698905,0.0037998040010324597,0.00023532119654596446,0.00023532119654596446,0.017717295782184474,0.017202674541887307,0.022147548225874066,0.002604356300687383,1.0
Child prop manipulation:child,0.010048586067983123,0.10765369845891289,0.02282064560074109,0.006660379955514837,0.009670165849959535,0.0013632409591320203,0.0023596694997287324,0.007326404818238664,0.0007325633814609837,0.004794940933639087,0.003311146923557615,0.011388361849346648,1.0,0.0004555276843665285,0.027946970131489543,0.009292236806020399,0.04035076202316607,0.03923776091931605,0.007581759941941665,0.017333625201244172,1.9610983263858087e-05,0.005912769613785441,0.0003660513171880152,0.0003660513171880152,0.008423026698018726,0.008206656394774189,0.003766656703211592,0.004052098788373082,1.0
Parent prop manipulation:parent,0.01318764890974096,0.07364018740903663,0.002097820712979034,0.004585698039848653,0.006656799205136222,0.0012636655209119318,0.04367100804685114,0.06864560361557821,0.0005045424382681031,0.0033016868771061267,0.03628166540976355,0.0033016868771061267,0.0012607074866469623,1.0,0.022044440550352328,0.0063967774070339085,0.027726140170653762,0.00361571063114686,0.02743832702351496,1.445249070165699e-07,0.02288683366490023,0.004071139036085888,0.00025211775718578895,0.00025211775718578895,0.006973845139453827,0.018971457249597017,0.01172555662709466,0.10040061223957876,1.0
robot pointing:point at prop,0.003468712718368176,0.07499859658476389,0.0003774372802068727,0.0014488787759291187,0.010289487275656825,0.0019521555541891686,0.02234099458029542,0.021481478186737492,0.0007793736825814767,0.0006968938907330272,0.003522864600203815,0.005101648995596697,0.024864166889179876,0.007086612846680995,1.0,0.009887296260376675,0.014746310857741442,0.3929797967244315,0.04250884554430482,0.01844595309774934,0.03543916190722925,0.006291086947885452,0.0003894395920881838,0.0003894395920881838,0.012027642207440003,9.100057328902025e-08,0.006008155789281937,0.025709410125817775,1.0
robot text:other,0.007462410533604858,0.04947354857625446,0.016936341929852963,0.0014790121445841823,0.007181519547511168,0.001363195530938161,0.08106792713125549,0.060531046771530095,0.0005442773401849818,0.003561814096105684,0.002459791702839857,0.003561814096105684,0.019888650955600856,0.004947055011270958,0.02378611000816489,1.0,0.029918639438875513,0.025913339919922857,0.029607969037385096,0.012867775428481545,0.024695293106363366,0.004391924286074615,0.03140133999263399,0.00027197240188265025,0.020483838435598492,0.019888650955600856,0.025608203098308937,0.0030101212673339242,1.0
robot text:song,0.011657808951135482,0.05898994573218989,0.026489046803998766,0.007725954447198217,0.011218616517890743,0.0021280256469139803,0.1279437995297118,0.09523439443482912,0.0008495650005363537,0.0055616572441902585,0.0038403775609789632,0.0055616572441902585,0.031118168298156022,0.007725954447198217,0.012782225880947476,0.010780007609583586,1.0,0.04057586380461843,0.046383373019001396,0.020115444026870863,0.038662518295688085,0.006858532180348422,0.0004245092331577833,0.0004245092331577833,0.03205183478143802,0.031118168298156022,0.04009648647178695,0.004699895608155257,1.0
robot text:teach,0.002557994849343415,0.044183157989176526,0.003558114268008671,0.0010041711318184,0.000522439884325887,0.0020141312056011955,0.007139439796891808,0.006647729101421132,0.0008041093041937721,0.00045034348959819333,0.0036347508428360054,0.005263742961198194,0.0330631352230058,0.0011008646519041576,0.3721952779907036,0.010201831627412714,0.04433485641563282,1.0,0.04387302264827549,0.019034071294233117,0.03657424850243349,0.006491033809421718,0.00040179833159438756,0.00040179833159438756,0.018770961227497527,0.000551644403069375,0.016680197725236275,0.02274885982191273,1.0
robot text:positive feedback,0.00025928281051111846,6.106706620666797e-05,0.00010945895436025723,0.0090077794624358,0.011172502646230655,0.0021192991771393495,0.05430280310564126,0.04108966066958973,0.000846082310143803,0.00553883002219549,0.0011320340242979296,0.00553883002219549,0.005884057474137691,0.0076942261823208236,0.037080621610142264,0.01073570174578113,0.04667742821918473,0.040407745146019795,1.0,0.02003256429568399,0.03850241254259396,0.0068303725527069535,0.0004227691990036279,0.0004227691990036279,0.031919346625869954,0.020108359330149636,0.039930376227398166,0.004680609719524708,1.0
robot text:put down,0.009213723519700227,0.0005972674780808085,0.0004261639400518712,0.005820279440697529,0.009832682534016745,0.0016036444046755327,0.0025541029650442155,0.001189104655906488,0.03278614144029702,0.004190347568491833,0.00813842224584368,0.004190347568491833,0.023410190453259205,7.052753221360026e-08,0.028001252887677158,0.008119587401150943,0.03522758603654133,0.03050755621385595,0.03486143128743338,1.0,0.02907240886553769,0.005167073017587203,0.0003199340743605388,0.0003199340743605388,0.02411122244258394,0.016942844111174003,0.030148021741035404,0.0035412413409911104,1.0
robot text:pick up,0.0030490354439254327,0.03956070837088261,0.004406769962005793,0.0071834338467733185,0.02090699373371396,0.0019787927389009674,0.0027083404353973224,0.0013474174344923985,0.000790005151164765,0.00019554877715581462,0.003570952919498119,0.0051713157220218626,1.7035124355075406e-05,0.0071834338467733185,0.0346011235031199,0.010022476976596575,0.04354855942043057,0.037703488403512106,0.04309501195034944,0.01869869990976875,1.0,0.006377021903653097,0.00039475144052455503,0.00039475144052455503,0.05769857493567296,0.006722513082724391,0.02307661598283262,0.0043701037086807245,1.0
robot text:try again,0.006742181115890953,0.006320465233987989,0.015299867255095623,0.0044697362189421675,0.00648842336030711,0.0012317225655801597,0.0012947345919818944,0.00013831800962152627,0.0004917897181059679,0.003218207182579131,0.002222527303271922,0.003218207182579131,0.017966210045402158,0.0044697362189421675,0.02148582437740249,0.006234983419144987,0.027023052909096665,0.023406666640478697,0.02674256320502118,0.011625043025746134,0.022306810859433823,1.0,0.0002457454602630031,0.0002457454602630031,0.01850372061285413,0.025489013171459747,0.016883723191948734,0.0027197548535261907,1.0
