,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns
Child utterance,"[1, 1.0]","[1, 1.0]","[1, 0.22984310643131872]","[1, 1.0]","[2, 0.01619817058981683]","[2, 0.08039050469538304]","[3, 0.06027180113852812]","[5, 0.9999783798534271]","[1, 0.039903916099293536]","[4, 0.004630245119818111]","[4, 0.1978287867193687]","[5, 0.03138470970500848]","[1, 1.0]","[3, 0.08061881091380145]"
Child gaze,"[5, 0.6025210275532951]","[1, 1.0]","[2, 0.04999332298757618]","[1, 1.0]","[1, 0.4447130521556788]","[5, 0.8430494249835047]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.017439155870160792]","[1, 0.14511114439349873]","[1, 0.5455169325442262]","[5, 0.06015661685734295]"
Child affect,"[2, 0.0028917738791085796]","[3, 0.1082412568571838]","[1, 1.0]","[4, 0.6840907951920763]","[2, 0.00622365122281864]","[2, 0.006795236768740173]","[3, 0.06818432000358188]","[1, 1.0]","[4, 0.980671378218429]","[5, 0.03476243551754483]","[3, 0.12229052774594648]","[3, 0.00035534826451214923]","[1, 1.0]","[2, 0.4703886251733239]"
Child gesture,"[1, 1.0]","[1, 1.0]","[4, 0.0007165173769095862]","[1, 1.0]","[1, 0.0057335835301215885]","[1, 0.001980282113811305]","[1, 1.0]","[5, 0.9362171109120856]","[1, 0.015987978070346173]","[1, 1.0]","[3, 0.9114640155074345]","[1, 0.00472744349130135]","[1, 1.0]","[1, 1.0]"
Parent utterance,"[4, 0.4759134941925739]","[1, 0.460858654528323]","[2, 0.0024327275971751956]","[2, 0.01518749596859347]","[1, 1.0]","[3, 0.5688627192749345]","[1, 0.03247958682953567]","[1, 0.21175708925138995]","[2, 0.268794752175189]","[3, 0.04584431440389534]","[4, 0.0002267538380182275]","[5, 3.922478739103511e-06]","[4, 0.9999999999999893]","[4, 0.16259634319167734]"
Verbal scaffolding,"[1, 0.04252724107094689]","[2, 0.7069463245887204]","[2, 0.0056593275387622185]","[5, 0.0049417452907403875]","[1, 0.9233543294767613]","[1, 1.0]","[2, 0.0822948841965133]","[1, 0.17401540206610522]","[2, 0.06532775118564825]","[3, 0.022050416144394083]","[4, 0.0009358722685045272]","[5, 8.507058943977101e-05]","[1, 1.0]","[2, 0.1989409491667179]"
Non-verbal scaffolding,"[5, 0.9984350465924592]","[1, 1.0]","[5, 0.9987343089346487]","[1, 1.0]","[4, 0.007754202617874562]","[4, 0.038044454120065484]","[1, 1.0]","[1, 1.0]","[4, 2.779137182354702e-09]","[5, 0.0012845565269022858]","[2, 0.5812703761135944]","[1, 0.04615047062123373]","[1, 1.0]","[1, 1.0]"
Parent gesture,"[4, 0.18574970834683818]","[1, 1.0]","[1, 1.0]","[5, 1.8909378492845054e-08]","[3, 0.16600845558245628]","[5, 0.08011605576918249]","[1, 1.0]","[1, 1.0]","[1, 0.08902112399040424]","[4, 0.9183138314043084]","[1, 1.0]","[2, 0.5953258452715087]","[1, 1.0]","[4, 0.07996909376862042]"
Child prop manipulation,"[5, 0.5863424383948945]","[1, 1.0]","[2, 0.08719393548546507]","[3, 0.0969877583465401]","[4, 0.2949779811640923]","[4, 0.35635476982072756]","[4, 0.8117319167015276]","[1, 0.0888974051106812]","[1, 1.0]","[3, 0.020884532877419384]","[4, 0.000701007360186106]","[5, 0.024349796624765677]","[1, 1.0]","[5, 0.8736465273056215]"
Parent prop manipulation,"[2, 0.09718262601469915]","[1, 1.0]","[4, 0.9994745490877572]","[1, 1.0]","[5, 0.0009349524658020232]","[5, 0.000116496127298724]","[4, 2.2311885629397633e-09]","[3, 0.010581857174414207]","[4, 8.618290290965877e-05]","[1, 1.0]","[5, 0.4110067601633541]","[5, 0.08380797467488967]","[1, 1.0]","[1, 1.0]"
robot pointing,"[3, 0.10030481699825712]","[5, 0.9874062101724193]","[3, 0.674301349500616]","[2, 0.03812080534323486]","[4, 0.00046948244331165183]","[4, 0.004222205791613676]","[1, 0.07121019548903801]","[1, 1.0]","[1, 0.08888193989208573]","[2, 0.0662501431234349]","[1, 1.0]","[5, 0.0009415059178956896]","[1, 1.0]","[1, 0.006247553856901583]"
robot text,"[4, 0.021329129869642846]","[2, 0.36971297750837856]","[4, 0.08800616829430569]","[3, 0.47424872307249466]","[4, 3.3772833210769866e-06]","[4, 1.2273780897169366e-05]","[2, 0.004606426724306566]","[1, 0.31912469212039707]","[2, 0.20235476065816685]","[2, 0.0014281537751248837]","[2, 8.267612928018093e-08]","[1, 1.0]","[2, 0.018086075341764988]","[2, 0.7429018242069458]"
start-end,"[1, 1.0]","[4, 1.332653794571414e-14]","[1, 1.0]","[1, 1.0]","[3, 0.0499505922786194]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9972923427201086]","[1, 1.0]","[1, 1.0]"
Conversational turns,"[4, 0.5192217706144995]","[1, 1.0]","[5, 0.049925298876012804]","[1, 1.0]","[1, 0.022326936026726932]","[1, 0.09124708079358032]","[1, 1.0]","[1, 1.0]","[4, 0.1171199550148498]","[1, 1.0]","[5, 0.5768570353658712]","[1, 0.023747286600436568]","[1, 1.0]","[1, 1.0]"
