,utterance,tablet,parent,positive 2,positive 1,point at prop,cognitive,technical,affective,child,other,song,teach,positive feedback,put down,pick up,try again,start,end,PC,CP,PCP,CPC
utterance,"[1, 1.0]","[1, 0.40714723772065664]","[1, 0.004179325927127371]","[2, 0.18797252602288925]","[1, 0.3318718324972979]","[4, 0.028167260222958033]","[3, 0.1250705188383453]","[1, 0.03826725400781682]","[1, 0.7863199914966734]","[2, 0.19756006167798038]","[2, 0.5524472896505741]","[1, 1.0]","[4, 0.0006580627752551376]","[2, 0.009360824009567606]","[5, 0.24264314610284146]","[4, 0.0813976232237535]","[1, 0.17897582988451194]","[4, 0.9999999999999961]","[1, 1.0]","[1, 0.5353980121020567]","[5, 0.0005949327289982327]","[4, 0.28192877186201204]","[5, 0.0011735449989163434]"
tablet,"[3, 0.15575935541104224]","[1, 1.0]","[3, 1.2158583657654857e-25]","[4, 7.348554414348758e-07]","[3, 2.8276628614880843e-10]","[3, 0.004656526563311958]","[3, 0.029686803373398362]","[4, 0.4373256351528769]","[1, 1.0]","[2, 0.9907860374948892]","[2, 0.3096414901242468]","[1, 1.0]","[5, 0.000613534916884912]","[1, 0.39274022781588547]","[1, 0.2265853082712618]","[5, 0.3997834660995578]","[5, 0.5540896797803699]","[1, 0.658797983916575]","[1, 1.0]","[5, 0.8444493659626647]","[5, 0.0013355193162812255]","[5, 0.23482721406413484]","[1, 0.0012985932760488387]"
parent,"[5, 0.0036937894471938885]","[2, 3.097512374635191e-20]","[1, 1.0]","[1, 3.759999139019563e-09]","[5, 2.9679211105777128e-05]","[2, 0.3569024678406871]","[5, 1.424122322281232e-06]","[4, 0.006195924053948501]","[1, 1.0]","[4, 0.30985983174151543]","[5, 0.05476114344671548]","[1, 1.0]","[2, 0.1307699927046192]","[1, 0.37666926711710313]","[5, 0.05736220281537567]","[4, 0.09042538307377292]","[3, 0.9810250567184139]","[1, 1.0]","[1, 1.0]","[1, 0.17681701994052312]","[5, 0.003375992303174973]","[3, 0.9950513415640392]","[2, 0.001392271232037716]"
positive 2,"[5, 0.00556163006794062]","[3, 0.026120393455414063]","[4, 0.014384771244341354]","[1, 1.0]","[1, 1.0]","[3, 0.07182239765476676]","[1, 0.18248098355076356]","[5, 5.8897269733600585e-06]","[1, 1.0]","[1, 1.0]","[5, 6.261239183639788e-07]","[1, 1.0]","[3, 0.00803990928858116]","[3, 0.018514078532061797]","[1, 1.0]","[1, 1.0]","[5, 0.823327386679898]","[1, 1.0]","[1, 1.0]","[5, 8.968591432200505e-05]","[5, 0.000138590445422334]","[5, 0.9570383365335835]","[1, 3.7391645185338175e-18]"
positive 1,"[3, 0.21769192712128807]","[3, 4.411164355705458e-07]","[2, 0.003013555610139872]","[1, 1.0]","[1, 1.0]","[1, 0.019751615432739265]","[2, 0.002603947481472438]","[1, 1.0]","[5, 0.17085008617901803]","[4, 0.9082872263092431]","[1, 1.0]","[1, 1.0]","[3, 0.011910091413497642]","[5, 0.7735207297732262]","[4, 0.18865493998824118]","[3, 0.03796454722659857]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.19716272802080628]","[3, 0.18786550689614362]","[1, 1.0]","[1, 1.0]"
point at prop,"[1, 0.00025336125627893326]","[1, 0.17954203641423216]","[2, 0.03051711212136697]","[5, 0.012356540864691602]","[3, 0.748316511188901]","[1, 1.0]","[1, 0.0005247962560767115]","[1, 0.12410996772619243]","[4, 0.27613541937890423]","[1, 0.14704923250189264]","[5, 0.43316139716404434]","[1, 1.0]","[5, 2.6127552816190754e-09]","[2, 0.25556572899868896]","[1, 1.0]","[5, 0.08475532039106973]","[5, 0.9895719091467294]","[1, 1.0]","[1, 1.0]","[1, 0.011511370261354816]","[5, 0.33421183186630654]","[1, 0.0020101656460451383]","[5, 0.014625436865578724]"
cognitive,"[2, 0.4265888844821406]","[3, 0.23474918349236254]","[2, 0.002165573711163564]","[1, 0.18190413210469328]","[5, 0.00038469560317809314]","[4, 0.05563575968546669]","[1, 1.0]","[1, 0.2477792309917775]","[1, 0.2768809079761271]","[2, 0.041376554816755756]","[4, 0.915998387669055]","[1, 1.0]","[4, 0.0002693871270737792]","[1, 0.21656944624386348]","[5, 0.07614126500545458]","[5, 0.03593068901204226]","[1, 0.1018796340055112]","[1, 1.0]","[1, 1.0]","[2, 0.20503648061709612]","[5, 0.01716587327903403]","[1, 0.7624665660755141]","[4, 0.0035479916571809255]"
technical,"[4, 0.008532541857534227]","[5, 0.9997659639823238]","[5, 0.374176688815208]","[5, 0.9789009935634106]","[1, 1.0]","[2, 0.6743463640327804]","[4, 0.11176870148746544]","[1, 1.0]","[1, 1.0]","[4, 2.779137182354702e-09]","[1, 1.0]","[1, 1.0]","[3, 0.9829180814017555]","[2, 0.04447628426879597]","[1, 0.006247553856901583]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
affective,"[1, 0.861137841148239]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.21316607150999897]","[3, 0.782541356974583]","[1, 1.0]","[2, 0.9999999999999222]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.3106904677227969]","[4, 0.003914493022203723]","[1, 0.805991247066193]","[1, 0.07198666076915673]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
child,"[4, 0.38033985821594907]","[5, 0.2553101794212759]","[1, 0.10281355284931906]","[1, 1.0]","[2, 0.03037955254436533]","[4, 0.0014351147850395372]","[4, 0.28249193608220124]","[4, 0.8117319167015276]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.3530624060941796]","[1, 0.05284853697763718]","[2, 0.03037955254436533]","[5, 0.05108739880708123]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.7530687853214268]","[5, 0.949074252151957]","[4, 0.7420000253449105]","[5, 0.6836051537501597]"
