,utterance,tablet,parent,positive 2,positive 1,point at prop,cognitive,technical,affective,child,other,song,teach,positive feedback,put down,pick up,try again,start,end,PC,CP,PCP,CPC,time
utterance,1.0,0.009671212089640027,0.010904540341512154,0.004060600551048577,0.0034812299865151137,0.0010380038763457718,0.5662657577853855,0.004325309143478916,0.02858324209684863,0.00040410066332801514,0.01893858778969897,0.08304942130099763,0.0013996954108790038,0.024830464927571915,3.3567156613789506e-06,0.0012930276457448892,0.0003884131808916195,0.0007440882917129052,0.0007440882917129052,0.054729794908184436,0.07591463526216788,0.046909151359549046,0.011170932658248194,1.0
tablet,0.01001049977697865,1.0,0.010057540658662944,0.0017995048543455903,0.006809155236232008,0.047883749474861376,0.003334155318030656,0.0062856941585841715,0.008755158374445758,0.05119850708453907,0.010993003031107132,0.03637843860923321,0.024937061704267606,3.742213163165579e-05,0.00021032052884328392,0.02165940205489318,0.0009892632462566407,0.0024149876887765965,0.0024149876887765965,0.0005204199002288239,0.012115127998294197,0.0018708380937384032,0.002746582105743542,1.0
parent,0.022421702733413387,0.01997920352500938,1.0,0.08634040501380268,0.14512113295486312,0.003086911770701037,0.001557691778133523,0.0027510844832101334,0.004937627361191417,0.01567578024179089,0.009569054744348186,0.041562297010325024,0.0008859123992362366,0.0004774146541290215,0.0003301971534287684,0.0013225336074763603,0.006088767670571959,0.00037693256341937324,0.00037693256341937324,0.003745839862695947,0.021247280160885944,0.002260964022639299,0.029278417278878064,1.0
positive 2,0.024458866979978042,0.010471869842708008,0.25292917099430134,1.0,0.006656799205136222,0.0018564610028687276,0.056076043018850594,0.002280172273118431,0.0033016868771061267,0.01843310771661044,0.0019124330434269398,0.027726140170653762,0.0032981277312577975,0.032122580333537556,0.011926907387453646,0.02288683366490023,0.004071139036085888,0.00025211775718578895,0.00025211775718578895,0.006973845139453827,0.018971457249597017,0.01172555662709466,0.06291556883696607,1.0
positive 1,0.015732628501649217,0.029729455458101836,0.3189613092064843,0.004994453374417571,1.0,0.029579499427290257,0.00326796491356387,0.002483350536904287,0.0035959332271807455,0.02007964287462393,0.0069671209775492016,0.030206407729186823,0.0012874150144952766,0.029892734942974983,0.015117449762595145,0.049976715625616924,0.004434000376712473,0.0002745763931122892,0.0002745763931122892,0.022127906872379154,0.03494427003697543,0.0023947776631729856,0.0030389532831116227,1.0
point at prop,0.0017645346313811883,0.07864018167787706,0.0025520795112933285,0.0005239272364717438,0.011126369008391151,1.0,0.002327160569981304,0.0038088597490632315,0.00019784222090078664,0.03316866259548747,0.010691376834350822,0.006404487990205005,0.28685335847685084,0.04599832231980769,0.019949651204572892,0.03834225136322893,0.006802200499918214,0.00042102836513668526,0.00042102836513668526,0.005638503213994872,0.0005601874924939692,0.0018312857426535489,0.019006834061841647,1.0
cognitive,0.653564729751497,0.0037177422826342272,0.0008743566293684461,0.010744831290691202,0.0008345975772918298,0.0015800231324873608,1.0,8.365792315133026e-06,0.007732985621643272,0.0038851939897040196,0.014997363701127878,0.06548673475021952,0.004183649503161044,0.0280767913395509,0.000466902641367478,0.0008225797608622266,2.413987472195561e-05,0.0005899081598637326,0.0005899081598637326,0.029388964154848658,0.025627498991639186,0.020181774280406593,0.0010360094992090017,1.0
technical,0.04551341111426139,0.0638999657976218,0.014078777102377414,0.003983307436954979,0.005782181068261474,0.02357686207559243,7.62712747533284e-05,1.0,0.0028680171529727786,0.016008630272345892,0.005556342365281853,0.024076167804138664,0.020855017176401938,0.007052260173799536,0.029134018793712503,0.019875309845300535,0.0035363668605892045,0.00021901151778510366,0.00021901151778510366,0.016487474839037373,0.016008630272345892,0.02060959307340231,0.0024238169207296515,1.0
affective,0.22318793249364835,0.06604628208784434,0.018750649054543125,0.004280051936800752,0.006213013083932331,0.0009087553673383071,0.05231643203077725,0.0021282308443071754,1.0,0.017202674541887307,0.005970337779350412,0.0258734681881186,0.0019174179263250933,0.025604946462227125,0.011131333974970988,0.0008076475437070989,0.0037998040010324597,0.00023532119654596446,0.00023532119654596446,0.017717295782184474,0.017202674541887307,0.022147548225874066,0.002604356300687383,1.0
child,0.0008795004650048492,0.10765369845891289,0.016592600227466645,0.006660379955514837,0.009670165849959535,0.042466186192306486,0.007326404818238664,0.003311146923557615,0.004794940933639087,1.0,0.009292236806020399,0.04035076202316607,0.03923776091931605,0.007581759941941665,0.017333625201244172,1.9610983263858087e-05,0.005912769613785441,0.0003660513171880152,0.0003660513171880152,0.008423026698018726,0.008206656394774189,0.003766656703211592,0.004052098788373082,1.0
