,total time,count,normalized total time,normalized count
Child affect,16.72,10,0.040211640211640205,0.02405002405002405
Child gaze,305.05,37,0.7336459836459837,0.08898508898508899
Child gesture,2.1,2,0.005050505050505051,0.00481000481000481
Child prop manipulation,26.98,18,0.06488696488696488,0.04329004329004329
Child utterance,7.699999999999999,11,0.018518518518518517,0.026455026455026454
Conversational turns,139.16000000000005,29,0.3346801346801348,0.06974506974506975
Non-verbal scaffolding,2.92,4,0.007022607022607022,0.00962000962000962
Parent gesture,4.04,4,0.009716209716209716,0.00962000962000962
Parent prop manipulation,6.1000000000000005,8,0.01467051467051467,0.01924001924001924
Parent utterance,93.39999999999999,69,0.2246272246272246,0.16594516594516595
Verbal scaffolding,79.82000000000002,54,0.191967291967292,0.12987012987012986
robot pointing,33.2,16,0.07984607984607985,0.03848003848003848
robot text,205.84999999999994,55,0.4950697450697449,0.13227513227513227
start-end,0.35,2,0.0008417508417508417,0.00481000481000481
CP,35.13999999999996,9,0.08451178451178441,0.021645021645021644
CPC,4.8799999999999955,1,0.011736411736411725,0.002405002405002405
PC,38.79000000000002,10,0.09329004329004334,0.02405002405002405
PCP,60.35000000000008,9,0.14514189514189532,0.021645021645021644
affective,4.74,5,0.0113997113997114,0.012025012025012025
child,26.98,18,0.06488696488696488,0.04329004329004329
cognitive,74.53999999999999,48,0.17926887926887924,0.11544011544011544
end,0.2,1,0.000481000481000481,0.002405002405002405
other,10.175,5,0.024470899470899473,0.012025012025012025
parent,28.379999999999995,23,0.06825396825396825,0.05531505531505531
pick up,36.85,13,0.08862433862433862,0.031265031265031266
point at prop,39.339999999999996,22,0.0946127946127946,0.05291005291005291
positive 1,9.46,7,0.02275132275132275,0.016835016835016835
positive 2,7.26,3,0.01746031746031746,0.007215007215007215
positive feedback,43.050000000000004,14,0.10353535353535354,0.03367003367003367
put down,19.775000000000002,7,0.047558922558922564,0.016835016835016835
song,50.825,1,0.12223424723424724,0.002405002405002405
start,0.15,1,0.00036075036075036075,0.002405002405002405
tablet,282.77,22,0.68006253006253,0.05291005291005291
teach,38.45000000000001,13,0.0924723424723425,0.031265031265031266
technical,3.46,5,0.008321308321308321,0.012025012025012025
try again,6.725,2,0.016173641173641173,0.00481000481000481
utterance,101.10000000000001,80,0.24314574314574317,0.1924001924001924
Child affect:positive 1,9.46,7,0.02275132275132275,0.016835016835016835
Child affect:positive 2,7.26,3,0.01746031746031746,0.007215007215007215
Child gaze:parent,22.279999999999998,15,0.05358345358345357,0.03607503607503607
Child gaze:tablet,282.77,22,0.68006253006253,0.05291005291005291
Child gesture:point at prop,2.1,2,0.005050505050505051,0.00481000481000481
Child prop manipulation:child,26.98,18,0.06488696488696488,0.04329004329004329
Child utterance:utterance,7.699999999999999,11,0.018518518518518517,0.026455026455026454
Conversational turns:CP,35.13999999999996,9,0.08451178451178441,0.021645021645021644
Conversational turns:CPC,4.8799999999999955,1,0.011736411736411725,0.002405002405002405
Conversational turns:PC,38.79000000000002,10,0.09329004329004334,0.02405002405002405
Conversational turns:PCP,60.35000000000008,9,0.14514189514189532,0.021645021645021644
Non-verbal scaffolding:technical,2.92,4,0.007022607022607022,0.00962000962000962
Parent gesture:point at prop,4.04,4,0.009716209716209716,0.00962000962000962
Parent prop manipulation:parent,6.1000000000000005,8,0.01467051467051467,0.01924001924001924
Parent utterance:utterance,93.39999999999999,69,0.2246272246272246,0.16594516594516595
Verbal scaffolding:affective,4.74,5,0.0113997113997114,0.012025012025012025
Verbal scaffolding:cognitive,74.53999999999999,48,0.17926887926887924,0.11544011544011544
Verbal scaffolding:technical,0.54,1,0.0012987012987012987,0.002405002405002405
robot pointing:point at prop,33.2,16,0.07984607984607985,0.03848003848003848
robot text:other,10.175,5,0.024470899470899473,0.012025012025012025
robot text:pick up,36.85,13,0.08862433862433862,0.031265031265031266
robot text:positive feedback,43.050000000000004,14,0.10353535353535354,0.03367003367003367
robot text:put down,19.775000000000002,7,0.047558922558922564,0.016835016835016835
robot text:song,50.825,1,0.12223424723424724,0.002405002405002405
robot text:teach,38.45000000000001,13,0.0924723424723425,0.031265031265031266
robot text:try again,6.725,2,0.016173641173641173,0.00481000481000481
start-end:end,0.2,1,0.000481000481000481,0.002405002405002405
start-end:start,0.15,1,0.00036075036075036075,0.002405002405002405
