,total time,count,normalized total time,normalized count
Child affect,96.682,27,0.3339377799883256,0.09325748391308404
Child gaze,289.462,84,0.9997962151277456,0.29013439439626143
Child gesture,12.136999999999999,6,0.0419209660093741,0.020723885314018677
Child prop manipulation,69.27100000000002,18,0.23926070993123133,0.06217165594205602
Child utterance,22.271,12,0.07692360830475166,0.04144777062803735
Conversational turns,89.76299999999993,19,0.31003968624037614,0.0656256368277258
Joint attention,135.65999999999997,42,0.46856704694996215,0.14506719719813072
Mutual gaze,20.980000000000018,14,0.07246451898135203,0.04835573239937691
Parent affect,67.48600000000002,20,0.2330953540503108,0.06907961771339559
Parent affective touch,4.272,4,0.014755406343581298,0.013815923542679116
Parent gaze,270.68199999999996,58,0.9349304540948671,0.20033089136884719
Parent gesture,22.229000000000003,13,0.07677854110755353,0.04490175151370713
Parent prop manipulation,6.819,2,0.023552695659382224,0.006907961771339558
Parent utterance,70.11299999999999,52,0.24216896183696518,0.17960700605482852
Verbal scaffolding-cp,64.25,48,0.22191827190428332,0.1657910825121494
robot pointing,9.584,4,0.033102952808259166,0.013815923542679116
robot text,199.743,57,0.6899085040463387,0.1968769104831774
CP,34.700999999999965,9,0.11985659071362689,0.03108582797102801
CPC,14.679999999999978,2,0.05070443940163229,0.006907961771339558
MG,20.980000000000018,14,0.07246451898135203,0.04835573239937691
PC,22.52000000000001,5,0.07778364954528347,0.017269904428348897
PCP,17.86199999999998,3,0.06169500657983353,0.010361942657009338
affective,11.729,9,0.040511741808020835,0.03108582797102801
affective touch,4.272,4,0.014755406343581298,0.013815923542679116
child,151.22499999999997,38,0.5223282594354123,0.1312512736554516
cognitive,29.977,23,0.10353998500972297,0.07944156037040492
missing data,6.82,4,0.023556149640267896,0.013815923542679116
other,23.902999999999995,13,0.08256050511016472,0.04490175151370713
parent,41.007000000000005,20,0.14163739417866064,0.06907961771339559
pick up,28.082,11,0.09699469123137874,0.03799378974236757
point at prop,40.541000000000004,20,0.14002783908593852,0.06907961771339559
positive 1,91.54700000000003,28,0.3162015881404114,0.09671146479875382
positive 2,55.93899999999999,15,0.19321223676348176,0.05180971328504669
positive 3,16.682,4,0.05761930913474325,0.013815923542679116
positive feedback,30.087000000000003,11,0.10391992290714666,0.03799378974236757
props,185.08,63,0.6392627823197627,0.2176007957971961
put down,11.833,5,0.0408709558201305,0.017269904428348897
robot,394.58199999999994,83,1.3628786858293527,0.28668041351059165
song,67.0,1,0.2314167193398752,0.003453980885669779
teach,33.998000000000005,15,0.11742844215100116,0.05180971328504669
technical,19.907,14,0.0687583974910283,0.04835573239937691
try again,8.249,4,0.02849188832589001,0.013815923542679116
utterance,88.20100000000001,62,0.3046445680969602,0.21414681491152632
Child affect:positive 1,54.910000000000004,16,0.18965809043212759,0.055263694170716464
Child affect:positive 2,30.589999999999996,8,0.10565727529263853,0.027631847085358232
Child affect:positive 3,11.181999999999999,3,0.03862241426355947,0.010361942657009338
Child gaze:parent,34.188,18,0.11808469851927841,0.06217165594205602
Child gaze:props,87.865,30,0.3034840305193751,0.10361942657009338
Child gaze:robot,167.409,36,0.578227486089092,0.12434331188411205
Child gesture:other,2.7729999999999997,2,0.009577888995962297,0.006907961771339558
Child gesture:point at prop,9.363999999999999,4,0.03234307701341181,0.013815923542679116
Child prop manipulation:child,69.27100000000002,18,0.23926070993123133,0.06217165594205602
Child utterance:utterance,22.271,12,0.07692360830475166,0.04144777062803735
Conversational turns:CP,34.700999999999965,9,0.11985659071362689,0.03108582797102801
Conversational turns:CPC,14.679999999999978,2,0.05070443940163229,0.006907961771339558
Conversational turns:PC,22.52000000000001,5,0.07778364954528347,0.017269904428348897
Conversational turns:PCP,17.86199999999998,3,0.06169500657983353,0.010361942657009338
Joint attention:props,40.031000000000006,18,0.13826630883424695,0.06217165594205602
Joint attention:robot,95.62899999999996,24,0.3303007381157152,0.0828955412560747
Mutual gaze:MG,20.980000000000018,14,0.07246451898135203,0.04835573239937691
Parent affect:positive 1,36.63699999999999,12,0.1265434977082837,0.04144777062803735
Parent affect:positive 2,25.348999999999997,7,0.08755496147084323,0.024177866199688456
Parent affect:positive 3,5.5,1,0.018996894871183785,0.003453980885669779
Parent affective touch:affective touch,4.272,4,0.014755406343581298,0.013815923542679116
Parent gaze:child,81.95400000000001,20,0.2830675495041811,0.06907961771339559
Parent gaze:props,57.184,15,0.19751244296614065,0.05180971328504669
Parent gaze:robot,131.54399999999998,23,0.4543504616245454,0.07944156037040492
Parent gesture:other,0.636,1,0.0021967318432859796,0.003453980885669779
Parent gesture:point at prop,21.593,12,0.07458180926426754,0.04144777062803735
Parent prop manipulation:parent,6.819,2,0.023552695659382224,0.006907961771339558
Parent utterance:missing data,4.91,3,0.016959046148638617,0.010361942657009338
Parent utterance:utterance,65.203,49,0.22520991568832663,0.16924506339781917
Verbal scaffolding-cp:affective,11.729,9,0.040511741808020835,0.03108582797102801
Verbal scaffolding-cp:cognitive,29.977,23,0.10353998500972297,0.07944156037040492
Verbal scaffolding-cp:missing data,1.91,1,0.006597103491629278,0.003453980885669779
Verbal scaffolding-cp:technical,19.907,14,0.0687583974910283,0.04835573239937691
Verbal scaffolding-cp:utterance,0.727,1,0.0025110441038819296,0.003453980885669779
robot pointing:point at prop,9.584,4,0.033102952808259166,0.013815923542679116
robot text:other,20.493999999999996,10,0.07078588427091644,0.034539808856697794
robot text:pick up,28.082,11,0.09699469123137874,0.03799378974236757
robot text:positive feedback,30.087000000000003,11,0.10391992290714666,0.03799378974236757
robot text:put down,11.833,5,0.0408709558201305,0.017269904428348897
robot text:song,67.0,1,0.2314167193398752,0.003453980885669779
robot text:teach,33.998000000000005,15,0.11742844215100116,0.05180971328504669
robot text:try again,8.249,4,0.02849188832589001,0.013815923542679116
